iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,0.12453308103459446,0.011074043170954447,0,1,0.001
1,0.11300637500244193,0.0827586192235716,0.008070544459987812,0,3,0.0018000000000000002
2,0.1674892080045538,0.05252004883577838,0.00560447172490537,0,4,0.0016200000000000001
3,0.22447712501161732,0.03864674817113002,0.0024249007804430854,0,5,0.001458
4,0.2819562500080792,0.03578415094406545,0.001157731981527141,0,6,0.0013122000000000001
5,0.3377982910024002,0.034961043639255215,0.0007426542230168763,0,7,0.00118098
6,0.39370620700356085,0.03456499217692966,0.000530311096052856,0,8,0.001062882
7,0.4478971240023384,0.03433418031063943,0.0004007893371830587,0,9,0.0009565938
8,0.5044355410063872,0.03418582164154923,0.0003123246058293084,0,10,0.00086093442
9,0.5599778739997419,0.03408416909102066,0.00025214509910070475,0,11,0.000774840978
10,0.6157639990124153,0.03401013770995671,0.00020918519060300592,0,12,0.0006973568802
11,0.6712941240111832,0.03395459905562867,0.00018407292904306773,0,13,0.0006276211921800001
12,0.7260375410114648,0.03391515970137329,0.0002125650892484914,0,14,0.0005648590729620001
13,0.8919614580081543,0.033900391559429456,0.00014130790149412368,0,17,0.0020334926626632004
14,0.9473338750103721,0.03389078182489356,0.00013548844785381603,0,18,0.0018301433963968804
15,1.0035248330095783,0.033880966378930885,0.00012973699243084275,0,19,0.0016471290567571925
16,1.061038042011205,0.033870978526155296,0.0001239350292163819,0,20,0.0014824161510814734
17,1.1147710000077495,0.03386086285957956,0.00011812607473451117,0,21,0.001334174535973326
18,1.1686305830080528,0.03385066290213965,0.0001123577454605482,0,22,0.0012007570823759936
19,1.22206295801152,0.03384041891409599,0.00010668083269825554,0,23,0.0010806813741383943
20,1.2786588750168448,0.03383016549749809,0.00010114890729344166,0,24,0.0009726132367245549
21,1.3362372500268975,0.0338199289565099,9.581817533286827e-05,0,25,0.0008753519130520994
22,1.3918769590381999,0.03380972436502834,9.074759568569167e-05,0,26,0.0007878167217468895
23,1.4470890430384316,0.03379955223574697,8.599914581181214e-05,0,27,0.0007090350495722005
24,1.5016903760406421,0.03378939465702369,8.16379318242645e-05,0,28,0.0006381315446149805
25,1.5586735840333859,0.03377921074902623,7.77314284839012e-05,0,29,0.0005743183901534824
26,1.612411709036678,0.03376893143853493,7.434736213372192e-05,0,30,0.0005168865511381342
27,1.6706443340226542,0.03375845401642511,7.155647271202124e-05,0,31,0.0004651978960243208
28,1.7237010010139784,0.033747642017971695,6.958988639393298e-05,0,32,0.00041867810642188874
29,1.7796432100149104,0.033736430821750756,7.236121275512529e-05,0,33,0.0003768102957796999
30,1.8344937520159874,0.03372780241651497,0.00014485110535262488,0,34,0.0003391292662017299
31,2.0587871680181706,0.03372264147685872,6.966833450226024e-05,0,38,0.0024417307166524553
32,2.114135002018884,0.03372073095496601,6.670291126083662e-05,0,39,0.0021975576449872096
33,2.1699624190077884,0.03371870759784075,6.663506729297877e-05,0,40,0.001977801880488489
34,2.226687585003674,0.03371646351241444,6.658362370904768e-05,0,41,0.00178002169243964
35,2.279624001006596,0.03371397384094255,6.653791147371156e-05,0,42,0.0016020195231956761
36,2.3360455429938156,0.03371121120580647,6.649949104346915e-05,0,43,0.0014418175708761085
37,2.393635793006979,0.0337081449705959,6.647031226000151e-05,0,44,0.0012976358137884976
38,2.4499048349971417,0.033704740765516106,6.645315999281625e-05,0,45,0.0011678722324096479
39,2.5032696679845685,0.03370095986045047,6.645260076893485e-05,0,46,0.0010510850091686832
40,2.5593055019853637,0.033696758252887246,6.64767234960853e-05,0,47,0.0009459765082518148
41,2.617352460991242,0.033692085214370636,6.654008393313877e-05,0,48,0.0008513788574266333
42,2.670573377996334,0.03368688082523379,6.666833651302107e-05,0,49,0.00076624097168397
43,2.725489377990016,0.033681071674377845,6.690508980280935e-05,0,50,0.000689616874515573
44,2.7821701699867845,0.03367456332691236,6.73216436782749e-05,0,51,0.0006206551870640158
45,2.838735169993015,0.033667227190960373,6.80306651746247e-05,0,52,0.0005585896683576142
46,2.8951372949959477,0.03365887764355692,6.920579301183368e-05,0,53,0.0005027307015218528
47,2.9500272949953796,0.03364923180909305,7.11101881422567e-05,0,54,0.00045245763136966756
48,3.0064717949862825,0.033637837712436225,7.413686040663274e-05,0,55,0.00040721186823270084
49,3.0623850869887974,0.03362394628582879,7.88867166143392e-05,0,56,0.00036649068140943075
50,3.117859794991091,0.03360633331567651,8.732497192528661e-05,0,57,0.0003298416132684877
51,3.171225002995925,0.03358458145876519,0.00013263327157049277,0,58,0.00029685745194163893
