iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,0.12453308103459446,0.011074043170954447,0,0,0,2.5e-09,0.04,0.99975
1,0.4013506250003047,0.12151843016674507,0.010711891844976148,1,1,1,2.5e-09,0.04,0.99975
2,0.51812074999998,0.11595972235993358,0.010085762258442132,2,2,2,2.5e-09,0.04,0.99975
3,0.6313003330005813,0.10850925383401616,0.009368290940205543,3,3,3,2.5e-09,0.04,0.99975
4,0.7413225830005103,0.09976831798529236,0.008773699965483503,4,4,4,2.5e-09,0.04,0.99975
5,0.8562633740002639,0.09011961101887225,0.0084265077130766,5,5,5,2.5e-09,0.04,0.99975
6,0.9707935400001588,0.07976590393422717,0.008209183191293812,6,6,6,2.5e-09,0.04,0.99975
7,1.080178665000858,0.06900312091056275,0.007799333710138219,7,7,7,2.5e-09,0.04,0.99975
8,1.1897087060006015,0.05851653542690683,0.0069089425399060074,8,8,8,2.5e-09,0.04,0.99975
9,1.297700956000881,0.0493427267970997,0.005506048429627951,9,9,9,2.5e-09,0.04,0.99975
10,1.4046186230007152,0.042393496171990806,0.003848575989249133,10,10,10,2.5e-09,0.04,0.99975
11,1.5162592480000967,0.03795765764862652,0.0023176221720974896,11,11,11,2.5e-09,0.04,0.99975
12,1.622820165000121,0.03566389526964357,0.0012320088591508708,12,12,12,2.5e-09,0.04,0.99975
13,1.7297431229999347,0.03484334584423,0.0008690169815056001,13,13,13,2.5e-09,0.04,0.99975
14,1.834312123000018,0.03488038903980592,0.0010921945053874458,14,14,14,2.5e-09,0.04,0.99975
15,1.9406563310003548,0.0353442585026397,0.0013886624717364844,15,15,15,2.5e-09,0.04,0.99975
16,2.047989456000323,0.035971808771610464,0.001613111619905555,16,16,16,2.5e-09,0.04,0.99975
17,2.1532722479996664,0.03661379583302721,0.001760306324405565,17,17,17,2.5e-09,0.04,0.99975
18,2.2588489979998485,0.0371910586034425,0.001846372668142565,18,18,18,2.5e-09,0.04,0.99975
19,2.366145330999643,0.0371910586034425,0.001846372668142565,19,19,19,2.5e-09,0.04,0.99975
20,2.4724451639995095,0.0371064506907482,0.0018195929634838984,20,20,20,2.5e-09,0.04,0.99975
21,2.577915705999658,0.03694340453819453,0.0017662273244639793,21,21,21,2.5e-09,0.04,0.99975
22,2.6844284559992957,0.03671282363141195,0.001686117849581126,22,22,22,2.5e-09,0.04,0.99975
23,2.8014620399990235,0.03643012474513292,0.0015792870679811387,23,23,23,2.5e-09,0.04,0.99975
24,2.9163706239996827,0.03611480719341758,0.0014467831856809664,24,24,24,2.5e-09,0.04,0.99975
25,3.0345704989995284,0.03578957454221285,0.001292113071417184,25,25,25,2.5e-09,0.04,0.99975
26,3.1511860410000736,0.035478776129001015,0.0011238359673167555,26,26,26,2.5e-09,0.04,0.99975
27,3.263266541000121,0.03520603567030284,0.0009600076086613774,27,27,27,2.5e-09,0.04,0.99975
28,3.379080957000042,0.034991213596193144,0.0008335968219208822,28,28,28,2.5e-09,0.04,0.99975
29,3.4920922900000733,0.03484727175579597,0.0007887684264868372,29,29,29,2.5e-09,0.04,0.99975
30,3.6043580820005445,0.03477791497246822,0.0008488575458807522,30,30,30,2.5e-09,0.04,0.99975
31,3.7166236240000217,0.034776808436331304,0.0009888459156081753,31,31,31,2.5e-09,0.04,0.99975
32,3.828354706999562,0.03482873791634179,0.0011630577384193173,32,32,32,2.5e-09,0.04,0.99975
33,3.94204466499923,0.03491251146039462,0.0013354011541630642,33,33,33,2.5e-09,0.04,0.99975
34,4.051167705999433,0.03500487637221052,0.0014835696006301124,34,34,34,2.5e-09,0.04,0.99975
35,4.158659330999399,0.03508443182889024,0.0015954400779095586,35,35,35,2.5e-09,0.04,0.99975
36,4.26844245599932,0.03513464081370896,0.0016658311731745353,36,36,36,2.5e-09,0.04,0.99975
37,4.377541205999478,0.03514551197393757,0.0016941264888529126,37,37,37,2.5e-09,0.04,0.99975
38,4.487775663999855,0.03511400063446463,0.0016826238991800397,38,38,38,2.5e-09,0.04,0.99975
39,4.593095621999964,0.035043414139097756,0.0016356218271618079,39,39,39,2.5e-09,0.04,0.99975
40,4.7069154969995,0.03494211603086939,0.001559107532895738,40,40,40,2.5e-09,0.04,0.99975
41,4.814615413999491,0.03482177050939226,0.0014607317351058708,41,41,41,2.5e-09,0.04,0.99975
42,4.925801246999072,0.034695365611835755,0.001349729512477578,42,42,42,2.5e-09,0.04,0.99975
43,5.034741413998745,0.03457529140876979,0.001236539622241731,43,43,43,2.5e-09,0.04,0.99975
44,5.1429658719989675,0.03447175855615382,0.0011319524067251723,44,44,44,2.5e-09,0.04,0.99975
45,5.24994616299864,0.03439177732620457,0.0010456606243882526,45,45,45,2.5e-09,0.04,0.99975
46,5.358460537999235,0.03433878767239587,0.000984308940085384,46,46,46,2.5e-09,0.04,0.99975
47,5.473151746999065,0.03431288389161526,0.0009497595460361216,47,47,47,2.5e-09,0.04,0.99975
48,5.58799628899942,0.034311464525264554,0.0009388098700321411,48,48,48,2.5e-09,0.04,0.99975
49,5.699163038999359,0.03433009065066347,0.0009448663444071671,49,49,49,2.5e-09,0.04,0.99975
50,5.8140902059994914,0.034363354723763964,0.0009604852186437331,50,50,50,2.5e-09,0.04,0.99975
51,5.920004372999756,0.03440562399364795,0.000979268328818195,51,51,51,2.5e-09,0.04,0.99975
52,6.02707237300001,0.0344515950838898,0.0009965933846509296,52,52,52,2.5e-09,0.04,0.99975
53,6.132898581000518,0.03449665499244613,0.001009534234754171,53,53,53,2.5e-09,0.04,0.99975
54,6.23947620600029,0.03453707827443773,0.0010164677649657952,54,54,54,2.5e-09,0.04,0.99975
55,6.345154997999998,0.03457010225912457,0.0010166652410542123,55,55,55,2.5e-09,0.04,0.99975
56,6.4528246639993085,0.03459391930496006,0.0010099790956754255,56,56,56,2.5e-09,0.04,0.99975
57,6.55887295499906,0.03460761553882281,0.0009966379866643469,57,57,57,2.5e-09,0.04,0.99975
58,6.664842538999437,0.03461107550308205,0.0009771260399450796,58,58,58,2.5e-09,0.04,0.99975
