iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,2.3975866060503814,0.3775090269404096,0,0,0,2.5e-09,4.0,0.999975
1,0.3462551669799723,2.366028953394521,0.29458797703096423,1,1,1,2.5e-09,4.0,0.999975
2,0.3837328339868691,2.3303009420121166,0.1918010296262211,2,2,2,2.5e-09,4.0,0.999975
3,0.4276593340036925,2.305916316883614,0.1095256184502504,3,3,3,2.5e-09,4.0,0.999975
4,0.4701237920089625,2.2955246614312905,0.07529732384485213,4,4,4,2.5e-09,4.0,0.999975
5,0.5024750420125201,2.295507614782982,0.09410465362530678,5,5,5,2.5e-09,4.0,0.999975
6,0.5504746670194436,2.300223457362747,0.12550135997268036,6,6,6,2.5e-09,4.0,0.999975
7,0.5822179170208983,2.3041211977771545,0.14988815317649815,7,7,7,2.5e-09,4.0,0.999975
8,0.6132260000158567,2.3031093988500477,0.16211296329756839,8,8,8,2.5e-09,4.0,0.999975
9,0.6451354170276318,2.2954205803687024,0.16121858811282652,9,9,9,2.5e-09,4.0,0.999975
10,0.6776132090308238,2.281673067648523,0.148803985371107,10,10,10,2.5e-09,4.0,0.999975
11,0.7095575840503443,2.2641271870528916,0.12843091476600968,11,11,11,2.5e-09,4.0,0.999975
12,0.7414204170345329,2.24554315715087,0.10549514775773818,12,12,12,2.5e-09,4.0,0.999975
13,0.7730412510281894,2.2281017243989654,0.08797862229912885,13,13,13,2.5e-09,4.0,0.999975
14,0.80561133500305,2.212665931919935,0.08497011093385842,14,14,14,2.5e-09,4.0,0.999975
15,0.8376563350029755,2.1985337902549764,0.09696400598277635,15,15,15,2.5e-09,4.0,0.999975
16,0.8710578350001015,2.183790203593011,0.11432635683671573,16,16,16,2.5e-09,4.0,0.999975
17,0.9046690849936567,2.1661650817858167,0.12872736778849536,17,17,17,2.5e-09,4.0,0.999975
18,0.9367000849742908,2.14392729720972,0.13712526999783833,18,18,18,2.5e-09,4.0,0.999975
19,0.9678684179671109,2.14392729720972,0.13712526999783833,19,19,19,2.5e-09,4.0,0.999975
