iter,elapsed_time,obj,gradnorm,eval,grad
1,0.13844299997435883,2.3353830086045497,0.1768338570984424,0,2
2,0.17723537498386577,2.2984111521748316,0.1014152862280863,0,3
4,0.35040604198002256,2.270668268251407,0.06409156674750895,0,5
8,0.4324174580106046,1.389169797364794,0.2250474071348578,0,10
16,0.769596875004936,0.7750325711930877,0.13827436912554664,0,18
32,1.046386625006562,0.315708661159297,0.07568863225173268,0,35
64,1.8682508330093697,0.08256591639130055,0.015755832427017773,0,68
128,3.526411917002406,0.000995715903866549,0.0006700090275456313,0,133
256,7.124558375013294,1.207742894899248e-10,3.152473457378754e-10,0,277
332,9.468071250012144,8.160472297897146e-15,3.0326617427724136e-14,0,369
