iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,8457757680461.867,46599729407.26816,0,0,0,2.5e-09,400000000.0,0.9999999975
1,0.07249970799603034,4646449904882.56,24131258728.831364,1,1,1,2.5e-09,400000000.0,0.9999999975
2,0.08577408299606759,2334997299737.292,12517567509.671494,2,2,2,2.5e-09,400000000.0,0.9999999975
3,0.09936108300462365,1190769399525.0422,6934074967.404187,3,3,3,2.5e-09,400000000.0,0.9999999975
4,0.11241420800797641,686446520759.7166,4950333476.370915,4,4,4,2.5e-09,400000000.0,0.9999999975
5,0.1257834999996703,511044465392.0916,5310564984.289696,5,5,5,2.5e-09,400000000.0,0.9999999975
6,0.138415833003819,505747253863.57,6466206769.52535,6,6,6,2.5e-09,400000000.0,0.9999999975
7,0.15129629100556485,586407694789.0593,7563246734.227107,7,7,7,2.5e-09,400000000.0,0.9999999975
8,0.16415008300100453,700930002357.0692,8370099172.990684,8,8,8,2.5e-09,400000000.0,0.9999999975
9,0.17677804100094363,812192818383.1143,8815878494.467009,9,9,9,2.5e-09,400000000.0,0.9999999975
10,0.18934099900070578,897732042075.2561,8915222478.312084,10,10,10,2.5e-09,400000000.0,0.9999999975
11,0.20271862400113605,948964037885.4341,8747178263.511158,11,11,11,2.5e-09,400000000.0,0.9999999975
12,0.21536149899475276,966463464218.04,8399943216.584319,12,12,12,2.5e-09,400000000.0,0.9999999975
13,0.22833629099477548,956116336760.4344,7943873791.63622,13,13,13,2.5e-09,400000000.0,0.9999999975
14,0.2410519159893738,926594833332.4462,7442827468.561097,14,14,14,2.5e-09,400000000.0,0.9999999975
15,0.25406524899881333,886418147493.091,6953770927.087555,15,15,15,2.5e-09,400000000.0,0.9999999975
16,0.2670532489864854,841810589481.2637,6510722294.99926,16,16,16,2.5e-09,400000000.0,0.9999999975
17,0.27951733297959436,796595339199.1329,6123325142.397829,17,17,17,2.5e-09,400000000.0,0.9999999975
18,0.2926186659751693,753177543278.5521,5790394253.834353,18,18,18,2.5e-09,400000000.0,0.9999999975
19,0.30561716597003397,713238285854.9836,5510953597.563107,19,19,19,2.5e-09,400000000.0,0.9999999975
20,0.3183938319707522,677757809743.0271,5284091312.581058,20,20,20,2.5e-09,400000000.0,0.9999999975
21,0.3307042899687076,646845980137.5591,5103636476.700137,21,21,21,2.5e-09,400000000.0,0.9999999975
22,0.34276724797382485,619873628437.8167,4956481052.772224,22,22,22,2.5e-09,400000000.0,0.9999999975
23,0.3558482479711529,595923580925.8564,4827866099.945231,23,23,23,2.5e-09,400000000.0,0.9999999975
24,0.3680690809705993,574196409002.6167,4707383119.045854,24,24,24,2.5e-09,400000000.0,0.9999999975
25,0.38034753897227347,554156965784.3002,4589941607.574839,25,25,25,2.5e-09,400000000.0,0.9999999975
26,0.3935004559752997,535501475071.48035,4473777025.914258,26,26,26,2.5e-09,400000000.0,0.9999999975
27,0.4063735809759237,518062227796.33936,4359084356.610603,27,27,27,2.5e-09,400000000.0,0.9999999975
28,0.41920712297724094,501689973053.02277,4246807459.736803,28,28,28,2.5e-09,400000000.0,0.9999999975
29,0.4315537059737835,486178093484.33234,4137020692.189582,29,29,29,2.5e-09,400000000.0,0.9999999975
30,0.44394124796963297,471288859972.3453,4028522206.770381,30,30,30,2.5e-09,400000000.0,0.9999999975
31,0.45685128997138236,456848942221.97125,3920009983.175148,31,31,31,2.5e-09,400000000.0,0.9999999975
32,0.4701813729625428,442823647876.8946,3811530563.985842,32,32,32,2.5e-09,400000000.0,0.9999999975
33,0.48264658196421806,429308383471.64905,3704794473.7156806,33,33,33,2.5e-09,400000000.0,0.9999999975
34,0.4954116659646388,416453581586.4289,3602161924.207964,34,34,34,2.5e-09,400000000.0,0.9999999975
35,0.5080678329541115,404383727789.1945,3505468873.2914557,35,35,35,2.5e-09,400000000.0,0.9999999975
36,0.52083533295081,393149483926.3241,3415524560.8423157,36,36,36,2.5e-09,400000000.0,0.9999999975
37,0.5329212489450583,382718275273.53613,3332110934.9260535,37,37,37,2.5e-09,400000000.0,0.9999999975
38,0.5457659579406027,372996259296.01196,3254227730.1396985,38,38,38,2.5e-09,400000000.0,0.9999999975
39,0.5584542909491574,363867994393.8958,3180602321.0054774,39,39,39,2.5e-09,400000000.0,0.9999999975
40,0.5711391239601653,355231561069.0799,3110283798.459915,40,40,40,2.5e-09,400000000.0,0.9999999975
41,0.5835307079541963,347012480644.6911,3042831397.639525,41,41,41,2.5e-09,400000000.0,0.9999999975
42,0.5962385829625418,339161562231.84174,2978032286.8340592,42,42,42,2.5e-09,400000000.0,0.9999999975
43,0.6094884579651989,331651835290.47986,2915686597.464558,43,43,43,2.5e-09,400000000.0,0.9999999975
44,0.6220572079764679,324476841589.0663,2855748355.0423307,44,44,44,2.5e-09,400000000.0,0.9999999975
45,0.6343912499723956,317641180148.0699,2798472245.804252,45,45,45,2.5e-09,400000000.0,0.9999999975
46,0.646958374971291,311141805767.3384,2744215387.798107,46,46,46,2.5e-09,400000000.0,0.9999999975
47,0.6600604579580249,304951477214.26276,2693064320.481049,47,47,47,2.5e-09,400000000.0,0.9999999975
48,0.6735654169606278,299015640134.82043,2644665516.330135,48,48,48,2.5e-09,400000000.0,0.9999999975
49,0.6859745829569874,293263449439.9336,2598360479.745939,49,49,49,2.5e-09,400000000.0,0.9999999975
50,0.6995472909475211,287625360959.26416,2553460901.0133915,50,50,50,2.5e-09,400000000.0,0.9999999975
51,0.7130167499417439,282048692925.7132,2509467961.5087132,51,51,51,2.5e-09,400000000.0,0.9999999975
52,0.7264629589481046,276506774934.9441,2466122426.729741,52,52,52,2.5e-09,400000000.0,0.9999999975
53,0.7394815009465674,271002663679.68835,2423341233.009413,53,53,53,2.5e-09,400000000.0,0.9999999975
54,0.7515017089463072,265569273339.7914,2381217452.629781,54,54,54,2.5e-09,400000000.0,0.9999999975
55,0.7645594589412212,260263769284.265,2340126159.3936863,55,55,55,2.5e-09,400000000.0,0.9999999975
56,0.7770785419415915,255152469447.68024,2300748343.960021,56,56,56,2.5e-09,400000000.0,0.9999999975
57,0.7911229589517461,250288250657.11884,2263821427.6979237,57,57,57,2.5e-09,400000000.0,0.9999999975
58,0.8045095839479472,245690842185.6883,2229712800.7603755,58,58,58,2.5e-09,400000000.0,0.9999999975
59,0.8165265009447467,241341363364.3479,2198170971.1786966,59,59,59,2.5e-09,400000000.0,0.9999999975
60,0.8298952509503579,237193247680.79858,2168472394.241917,60,60,60,2.5e-09,400000000.0,0.9999999975
61,0.8417845429503359,233191346392.46057,2139801238.7771633,61,61,61,2.5e-09,400000000.0,0.9999999975
62,0.8539475849393057,229288935217.44373,2111546897.8242948,62,62,62,2.5e-09,400000000.0,0.9999999975
63,0.866844293937902,225457458075.41626,2083403817.3911085,63,63,63,2.5e-09,400000000.0,0.9999999975
64,0.8796217519266065,221688563086.6085,2055361299.3098505,64,64,64,2.5e-09,400000000.0,0.9999999975
65,0.8921596689178841,217989623222.60718,2027629685.7385654,65,65,65,2.5e-09,400000000.0,0.9999999975
66,0.9056942519091535,214375534443.85974,2000484154.5761337,66,66,66,2.5e-09,400000000.0,0.9999999975
67,0.9179384179151384,210861205997.58032,1974104138.6551306,67,67,67,2.5e-09,400000000.0,0.9999999975
68,0.9340142099099467,207457646984.42462,1948535256.4246712,68,68,68,2.5e-09,400000000.0,0.9999999975
69,0.9481797519110842,204170842130.36053,1923764335.9929347,69,69,69,2.5e-09,400000000.0,0.9999999975
70,0.9613534189120401,201001069136.25082,1899777525.4475744,70,70,70,2.5e-09,400000000.0,0.9999999975
71,0.9740057939197868,197942056196.83182,1876534135.5407193,71,71,71,2.5e-09,400000000.0,0.9999999975
72,0.9877723779063672,194981218881.63898,1853921098.071308,72,72,72,2.5e-09,400000000.0,0.9999999975
73,1.001499918900663,192101678361.33878,1831768774.4957793,73,73,73,2.5e-09,400000000.0,0.9999999975
74,1.0149350439023692,189285086672.67288,1809913451.4832106,74,74,74,2.5e-09,400000000.0,0.9999999975
