iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,8457757680461.867,46599729407.26816,0,1,0.001,1e-16,0
1,0.01122229199972935,8457757680461.867,46599729407.26816,0,2,0.002,1e-16,0
2,0.022057499998481944,8457757680461.867,46599729407.26816,0,3,0.004,1e-16,0
3,0.03282933299487922,8457757680461.867,46599729407.26816,0,4,0.008,1e-16,0
4,0.044259248999878764,8457757680461.867,46599729407.26816,0,5,0.016,1e-16,0
5,0.055225040996447206,8457757680461.867,46599729407.26816,0,6,0.032,1e-16,0
6,0.0655157080036588,8457757680461.867,46599729407.26816,0,7,0.064,1e-16,0
7,0.07557533301587682,8457757680461.867,46599729407.26816,0,8,0.128,1e-16,0
8,0.08525508301681839,8457757680461.867,46599729407.26816,0,9,0.256,1e-16,0
9,0.09469804102263879,8457757680461.867,46599729407.26816,0,10,0.512,1e-16,0
10,0.10500079102348536,8457757680461.867,46599729407.26816,0,11,1.024,1e-16,0
11,0.11469175001548138,8457757680461.867,46599729407.26816,0,12,2.048,1e-16,0
12,0.12408033301471733,8457757680461.867,46599729407.26816,0,13,4.096,1e-16,0
13,0.13451945802080445,8457757680461.867,46599729407.26816,0,14,8.192,1e-16,0
14,0.14370750002854038,8457757680461.867,46599729407.26816,0,15,16.384,1e-16,0
15,0.15382925001904368,8457757680461.867,46599729407.26816,0,16,32.768,1e-16,0
16,0.16352008302055765,8457757680461.867,46599729407.26816,0,17,65.536,1e-16,0
17,0.1732933330204105,8457757680461.867,46599729407.26816,0,18,131.072,1e-16,0
18,0.18333020801946986,8457757680461.867,46599729407.26816,0,19,262.144,1e-16,0
19,0.192945666029118,8457757680461.867,46599729407.26816,0,20,524.288,1e-16,0
20,0.205450166031369,8457757680461.867,46599729407.26816,0,21,1048.576,1e-16,0
21,0.21604779103654437,8457757680461.867,46599729407.26816,0,22,2097.152,1e-16,0
22,0.23071920704387594,8457757680461.867,46599729407.26816,0,23,4194.304,1e-16,0
23,0.24449295703379903,8457757680461.867,46599729407.26816,0,24,8388.608,1e-16,0
24,0.2570028320333222,8457757680461.867,46599729407.26816,0,25,16777.216,1e-16,0
25,0.2677553740213625,8457757680461.867,46599729407.26816,0,26,33554.432,1e-16,0
26,0.27939499901549425,8457757680461.867,46599729407.26816,0,27,67108.864,1e-16,0
27,0.29087920700840186,8457757680461.867,46599729407.26816,0,28,134217.728,1e-16,0
28,0.302855707006529,8457757680461.867,46599729407.26816,0,29,268435.456,1e-16,0
29,0.3144258730026195,8457757680461.867,46599729407.26816,0,30,536870.912,1e-16,0
30,0.3252553310157964,8457757680461.867,46599729407.26816,0,31,1073741.824,1e-16,0
31,0.33665474702138454,8457757680461.867,46599729407.26816,0,32,2147483.648,1e-16,0
32,0.3486219550250098,8457757680461.867,46599729407.26816,0,33,4294967.296,1e-16,0
33,0.36002591301803477,8457757680461.867,46599729407.26816,0,34,8589934.592,1e-16,0
34,0.3719037050177576,8457757680461.867,46599729407.26816,0,35,17179869.184,1e-16,0
35,0.3837630800262559,8457757680461.867,46599729407.26816,0,36,34359738.368,1e-16,0
36,0.3954137050313875,8457757680461.867,46599729407.26816,0,37,68719476.736,1e-16,0
37,0.40653828904032707,8457757680461.867,46599729407.26816,0,38,137438953.472,1e-16,0
38,0.5025479560426902,2060446525819.144,14965496480.843626,0,40,123695058.12480001,1e-16,0
39,0.5132997480541235,2060446525819.144,14965496480.843626,0,41,247390116.24960002,1e-16,0
40,0.5245191230496857,2060446525819.144,14965496480.843626,0,42,494780232.49920005,1e-16,0
41,0.5515518730389886,1780226940587.2468,10011141815.805475,0,44,445302209.24928004,1e-16,0
42,0.5781582480412908,1573114985886.346,8795772916.669827,0,46,400771988.324352,1e-16,0
43,0.6063113310519839,1390118806225.4265,7898450609.330573,0,48,400771988.324352,152802.0189207402,1
44,0.6411772060528165,1172513657847.0378,6819585215.1842,0,50,400771988.324352,152802.0189207402,2
45,0.6682458310533548,953271099416.1562,5706434589.632915,0,52,400771988.324352,152802.0189207402,3
46,0.6937407480581896,753761220054.1984,4660419512.707455,0,54,360694789.49191684,1e-16,0
47,0.7197702480625594,695549464576.8511,4353371409.72186,0,56,360694789.49191684,82121.94034543853,1
48,0.7432895400561392,620376607665.67,3950537440.0912986,0,58,360694789.49191684,82121.94034543853,2
49,0.7676564150606282,537362010038.1326,3495856447.444667,0,60,360694789.49191684,82121.94034543853,3
50,0.7936690810602158,454199318152.0599,3027933214.3271413,0,62,360694789.49191684,82121.94034543853,4
51,0.8183765400608536,376389160729.8861,2576378310.8027086,0,64,360694789.49191684,82121.94034543853,5
52,0.8420748730713967,307190829953.82336,2161055538.845237,0,66,324625310.54272515,1e-16,0
53,0.8661225810647011,293086742567.4847,2076754957.4849374,0,68,324625310.54272515,48135.386899499776,1
54,0.891927706063143,273719193810.13394,1959752992.1464162,0,70,324625310.54272515,48135.386899499776,2
55,0.9166938310663681,250677134920.14304,1818457861.2812026,0,72,324625310.54272515,48135.386899499776,3
56,0.9419282470771577,225571171316.52496,1661582604.2651584,0,74,324625310.54272515,48135.386899499776,4
57,0.9668962470750557,199859377667.02295,1497310544.6819386,0,76,324625310.54272515,48135.386899499776,5
58,0.992780664077145,174736949269.02734,1332725919.4023497,0,78,324625310.54272515,48135.386899499776,6
59,1.0169948300754186,151089346339.10788,1173517965.019356,0,80,292162779.4884526,1e-16,0
60,1.043069705061498,146438600749.8525,1142332014.5171478,0,82,292162779.4884526,32208.861316152586,1
61,1.0688617470586905,139869145309.14127,1097938978.6499283,0,84,292162779.4884526,32208.861316152586,2
62,1.0970475800568238,131769928481.74678,1042609465.327622,0,86,292162779.4884526,32208.861316152586,3
63,1.1268949550576508,122568582528.3139,978873506.514794,0,88,292162779.4884526,32208.861316152586,4
64,1.1548895380547037,112693312792.01498,909325447.2844793,0,90,292162779.4884526,32208.861316152586,5
65,1.182172454049578,102541553330.88762,836457971.3527853,0,92,292162779.4884526,32208.861316152586,6
66,1.2137717880541459,92457769261.11562,762537110.218452,0,94,292162779.4884526,32208.861316152586,7
67,1.2394826210511383,82720858909.71338,689521840.3201045,0,96,292162779.4884526,32208.861316152586,8
68,1.2660010800609598,73540145818.36098,619025251.6084676,0,98,262946501.53960735,1e-16,0
69,1.2986099550616927,72095784431.62335,608060389.4235078,0,100,262946501.53960735,21296.999916139153,1
70,1.336472372058779,70014144570.22316,592173505.2677768,0,102,262946501.53960735,21296.999916139153,2
71,1.3669827890553279,67380685284.47101,571923020.6128303,0,104,262946501.53960735,21296.999916139153,3
72,1.3965706640592543,64294843748.26414,547963309.1944513,0,106,262946501.53960735,21296.999916139153,4
73,1.4262921640620334,60863389901.04062,521007596.60703224,0,108,262946501.53960735,21296.999916139153,5
74,1.4562569970585173,57194100355.38566,491792105.8851189,0,110,262946501.53960735,21296.999916139153,6
75,1.480768830049783,53390249139.977806,461043999.88954973,0,112,262946501.53960735,21296.999916139153,7
76,1.5065747050539358,49546239559.01236,429454870.5554684,0,114,262946501.53960735,21296.999916139153,8
77,1.5331306640582625,45744523216.80155,397660672.59502584,0,116,262946501.53960735,21296.999916139153,9
78,1.5574167890590616,42053796010.79772,366228214.1826325,0,118,262946501.53960735,21296.999916139153,10
79,1.5831676230591256,38528342999.32893,335647678.37786394,0,120,262946501.53960735,21296.999916139153,11
80,1.610626290072105,35208330222.17751,306330193.86454076,0,122,236651851.3856466,1e-16,0
81,1.6385785820748424,34814011242.64875,302928634.78927,0,124,236651851.3856466,13532.336938681463,1
82,1.667536124077742,34237154079.613537,297937145.5622985,0,126,236651851.3856466,13532.336938681463,2
83,1.6943553320743376,33493027343.079464,291469883.75346005,0,128,236651851.3856466,13834.058639952174,3
84,1.721530582071864,32600142253.50673,283665510.4226372,0,130,236651851.3856466,14050.12788112925,4
85,1.7479498740722192,31579406168.586994,274681862.7886569,0,132,236651851.3856466,14098.76183280472,5
86,1.7716717490693554,30453236548.829304,264690365.09826455,0,134,236651851.3856466,14098.76183280472,6
87,1.7954492900607875,29244689857.618977,253870491.74856094,0,136,236651851.3856466,14098.76183280472,7
88,1.8192382900742814,27976652345.028324,242404555.3889715,0,138,236651851.3856466,14098.76183280472,8
89,1.842594040077529,26671129227.001045,230473033.89891034,0,140,236651851.3856466,14098.76183280472,9
