iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
0,0,8457757680461.867,46599729407.26816,0,1,0.001,0,0
1,0.028171041994937696,8457757680461.867,46599729407.26816,0,2,0.002,0,0
2,0.039416708998032846,8457757680461.867,46599729407.26816,0,3,0.004,0,0
3,0.049474249986815266,8457757680461.867,46599729407.26816,0,4,0.008,0,0
4,0.0597822909912793,8457757680461.867,46599729407.26816,0,5,0.016,0,0
5,0.07121529098367319,8457757680461.867,46599729407.26816,0,6,0.032,0,0
6,0.08075708299293183,8457757680461.867,46599729407.26816,0,7,0.064,0,0
7,0.09240595798473805,8457757680461.867,46599729407.26816,0,8,0.128,0,0
8,0.10227145798853599,8457757680461.867,46599729407.26816,0,9,0.256,0,0
9,0.11267237499123439,8457757680461.867,46599729407.26816,0,10,0.512,0,0
10,0.12282762498944066,8457757680461.867,46599729407.26816,0,11,1.024,0,0
11,0.13260070799151435,8457757680461.867,46599729407.26816,0,12,2.048,0,0
12,0.14250929099216592,8457757680461.867,46599729407.26816,0,13,4.096,0,0
13,0.15281991598021705,8457757680461.867,46599729407.26816,0,14,8.192,0,0
14,0.16294741597084794,8457757680461.867,46599729407.26816,0,15,16.384,0,0
15,0.17250116597278975,8457757680461.867,46599729407.26816,0,16,32.768,0,0
16,0.18323674997373018,8457757680461.867,46599729407.26816,0,17,65.536,0,0
17,0.19338095898274332,8457757680461.867,46599729407.26816,0,18,131.072,0,0
18,0.2038042089843657,8457757680461.867,46599729407.26816,0,19,262.144,0,0
19,0.2140747089870274,8457757680461.867,46599729407.26816,0,20,524.288,0,0
20,0.22418475098675117,8457757680461.867,46599729407.26816,0,21,1048.576,0,0
21,0.23485358398465905,8457757680461.867,46599729407.26816,0,22,2097.152,0,0
22,0.2447847929870477,8457757680461.867,46599729407.26816,0,23,4194.304,0,0
23,0.2546089179959381,8457757680461.867,46599729407.26816,0,24,8388.608,0,0
24,0.2646215429995209,8457757680461.867,46599729407.26816,0,25,16777.216,0,0
25,0.2740214599907631,8457757680461.867,46599729407.26816,0,26,33554.432,0,0
26,0.2839562519802712,8457757680461.867,46599729407.26816,0,27,67108.864,0,0
27,0.2944295019842684,8457757680461.867,46599729407.26816,0,28,134217.728,0,0
28,0.30432900198502466,8457757680461.867,46599729407.26816,0,29,268435.456,0,0
29,0.3143162519845646,8457757680461.867,46599729407.26816,0,30,536870.912,0,0
30,0.3245228349842364,8457757680461.867,46599729407.26816,0,31,1073741.824,0,0
31,0.3344714179838775,8457757680461.867,46599729407.26816,0,32,2147483.648,0,0
32,0.34439025199390016,8457757680461.867,46599729407.26816,0,33,4294967.296,0,0
33,0.35440296099113766,8457757680461.867,46599729407.26816,0,34,8589934.592,0,0
34,0.365017418997013,8457757680461.867,46599729407.26816,0,35,17179869.184,0,0
35,0.3751813769922592,8457757680461.867,46599729407.26816,0,36,34359738.368,0,0
36,0.3854108769883169,8457757680461.867,46599729407.26816,0,37,68719476.736,0,0
37,0.39589162699121516,8457757680461.867,46599729407.26816,0,38,137438953.472,0,0
