iter,elapsed_time,obj,gradnorm,eval,grad
1,1.0779329590004636,7542058077686.447,40857707255.05102,0,4
2,1.1051207919954322,2682263235662.619,17981001064.24542,0,5
4,1.1740853749943199,1048071512525.2865,13437168027.062218,0,8
8,1.3243130829941947,258243473868.81015,2334802575.445223,0,13
16,1.8971180420048768,50873941252.97421,768006983.1743822,0,22
32,2.7709922909998568,4997304377.998545,121587974.69384131,0,41
64,4.749211792004644,741686840.4889692,13077262.157339597,0,75
128,8.260164874998736,228104536.35627246,3155909.6716897977,0,139
256,15.662324125005398,129714183.6935278,1379760.2621599282,0,267
512,30.46445508299803,85548261.36458375,808826.853616533,0,530
1024,60.83112670799892,56661530.3444073,226147.08813725712,0,1062
