iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,0.5154493101582341,0.027373873418855155,0,0,0,2.5e-09,0.4,0.9999209430584958
1,0.08562275001895614,0.5135803642684993,0.027246257809488066,1,1,1,2.5e-09,0.4,0.9999209430584958
2,0.1183132920123171,0.5098859451030644,0.026994729599912847,2,2,2,2.5e-09,0.4,0.9999209430584958
3,0.15344495902536437,0.5044421064575327,0.02662534508125815,3,3,3,2.5e-09,0.4,0.9999209430584958
4,0.1882767510251142,0.4973545515315678,0.02614647128750221,4,4,4,2.5e-09,0.4,0.9999209430584958
5,0.22538870901917107,0.4887548833935762,0.02556876129817947,5,5,5,2.5e-09,0.4,0.9999209430584958
6,0.26130737602943555,0.4787961703788572,0.024905121347544596,6,6,6,2.5e-09,0.4,0.9999209430584958
7,0.2999362090486102,0.4676479855363987,0.024170637254908447,7,7,7,2.5e-09,0.4,0.9999209430584958
8,0.33769191804458387,0.45549110580276875,0.023382420935185614,8,8,8,2.5e-09,0.4,0.9999209430584958
9,0.37461625106516294,0.44251208058862035,0.022559332150442476,9,9,9,2.5e-09,0.4,0.9999209430584958
10,0.41222904206370004,0.4288978971198662,0.0217215289972224,10,10,10,2.5e-09,0.4,0.9999209430584958
11,0.4471262510633096,0.4148309766920677,0.020889807315713084,11,11,11,2.5e-09,0.4,0.9999209430584958
12,0.4873162510630209,0.4004847275199019,0.020084710141216357,12,12,12,2.5e-09,0.4,0.9999209430584958
13,0.5246494180464651,0.3860198526900299,0.019325429194373515,13,13,13,2.5e-09,0.4,0.9999209430584958
14,0.5623890430433676,0.3715815646263545,0.018628582590214257,14,14,14,2.5e-09,0.4,0.9999209430584958
15,0.6011253760370892,0.3572977923520274,0.018007027048733755,15,15,15,2.5e-09,0.4,0.9999209430584958
16,0.6380020430369768,0.34327839015902184,0.017468923759380653,16,16,16,2.5e-09,0.4,0.9999209430584958
17,0.6760646260227077,0.32961527477984365,0.017017287794093495,17,17,17,2.5e-09,0.4,0.9999209430584958
18,0.718194917018991,0.3163833434897608,0.016650181763829732,18,18,18,2.5e-09,0.4,0.9999209430584958
19,0.7550665420421865,0.3036419684565474,0.016361569022141143,19,19,19,2.5e-09,0.4,0.9999209430584958
20,0.7926240420201793,0.2914368315524979,0.016142668930859912,20,20,20,2.5e-09,0.4,0.9999209430584958
21,0.8287357500230428,0.2798018630152489,0.015983528311912368,21,21,21,2.5e-09,0.4,0.9999209430584958
22,0.8668269160261843,0.26876107583231046,0.0158744901602065,22,22,22,2.5e-09,0.4,0.9999209430584958
23,0.9065090830263216,0.2583301395594814,0.01580730388392798,23,23,23,2.5e-09,0.4,0.9999209430584958
24,0.9473139580222778,0.24851760288852665,0.015775739854485254,24,24,24,2.5e-09,0.4,0.9999209430584958
25,0.9850741670234129,0.23932574264183692,0.015775694324261947,25,25,25,2.5e-09,0.4,0.9999209430584958
26,1.021237959008431,0.23075107783063775,0.01580486516348104,26,26,26,2.5e-09,0.4,0.9999209430584958
27,1.0558840010198765,0.22278463343541655,0.015862133881794173,27,27,27,2.5e-09,0.4,0.9999209430584958
28,1.0910347920143977,0.21541206562366805,0.015946809375015896,28,28,28,2.5e-09,0.4,0.9999209430584958
29,1.1258094170188997,0.20861376762672829,0.016057882426094773,29,29,29,2.5e-09,0.4,0.9999209430584958
30,1.1609110000135843,0.2023650655819918,0.01619341456363922,30,30,30,2.5e-09,0.4,0.9999209430584958
31,1.1961468750378117,0.1966365901435249,0.01635014620008564,31,31,31,2.5e-09,0.4,0.9999209430584958
32,1.2292039170279168,0.19139487719290305,0.016523363088780826,32,32,32,2.5e-09,0.4,0.9999209430584958
33,1.2643610420345794,0.18660321429534663,0.016707014489342316,33,33,33,2.5e-09,0.4,0.9999209430584958
34,1.2990505000343546,0.1822227131389452,0.016894038815210278,34,34,34,2.5e-09,0.4,0.9999209430584958
35,1.3328077920305077,0.17821355605786415,0.017076828792378644,35,35,35,2.5e-09,0.4,0.9999209430584958
36,1.3667772920161951,0.17453634013006236,0.01724776028386025,36,36,36,2.5e-09,0.4,0.9999209430584958
37,1.4006787090038415,0.17115342751361448,0.017399714916424718,37,37,37,2.5e-09,0.4,0.9999209430584958
38,1.4358244170143735,0.1680302066534518,0.017526541859213263,38,38,38,2.5e-09,0.4,0.9999209430584958
39,1.4690582500188611,0.1651361753895705,0.017623423258922466,39,39,39,2.5e-09,0.4,0.9999209430584958
40,1.5027802500117105,0.16244577218609688,0.017687126474553557,40,40,40,2.5e-09,0.4,0.9999209430584958
41,1.5417534580337815,0.1599389030934771,0.017716141408197984,41,41,41,2.5e-09,0.4,0.9999209430584958
42,1.579491417040117,0.157601136642871,0.017710711427590106,42,42,42,2.5e-09,0.4,0.9999209430584958
43,1.6162565840641037,0.15542356377655644,0.017672771371823614,43,43,43,2.5e-09,0.4,0.9999209430584958
44,1.650197167065926,0.15340234285335022,0.01760580659870321,44,44,44,2.5e-09,0.4,0.9999209430584958
45,1.686543125048047,0.15153796927109348,0.01751464434447697,45,45,45,2.5e-09,0.4,0.9999209430584958
46,1.724182167032268,0.1498343246641364,0.01740518470430599,46,46,46,2.5e-09,0.4,0.9999209430584958
47,1.759375251014717,0.14829757189171852,0.017284075449535974,47,47,47,2.5e-09,0.4,0.9999209430584958
48,1.7978798340191133,0.14693496932255753,0.017158334722075865,48,48,48,2.5e-09,0.4,0.9999209430584958
49,1.832705042033922,0.14575368139100622,0.017034929825030663,49,49,49,2.5e-09,0.4,0.9999209430584958
50,1.8681449590076227,0.14475966198366355,0.01692032909068356,50,50,50,2.5e-09,0.4,0.9999209430584958
51,1.9040585010079667,0.14395668262524744,0.01682005566029772,51,51,51,2.5e-09,0.4,0.9999209430584958
52,1.9402230840059929,0.1433455683174162,0.016738283639086183,52,52,52,2.5e-09,0.4,0.9999209430584958
53,1.9770902509917505,0.1429236900798096,0.0166775239977041,53,53,53,2.5e-09,0.4,0.9999209430584958
54,2.0146889600146096,0.14268474503079132,0.01663844559474458,54,54,54,2.5e-09,0.4,0.9999209430584958
55,2.0557742930250242,0.1426188331353423,0.016619863831780993,55,55,55,2.5e-09,0.4,0.9999209430584958
56,2.0952067930193152,0.1427128161196588,0.016618907352953797,56,56,56,2.5e-09,0.4,0.9999209430584958
57,2.1322611680079717,0.14295092064405857,0.01663134693938784,57,57,57,2.5e-09,0.4,0.9999209430584958
58,2.169946334033739,0.14331552707903789,0.016652046989673323,58,58,58,2.5e-09,0.4,0.9999209430584958
59,2.206035918032285,0.14378806954184561,0.01667548432653067,59,59,59,2.5e-09,0.4,0.9999209430584958
60,2.242459626024356,0.1443499642029963,0.01669627408908102,60,60,60,2.5e-09,0.4,0.9999209430584958
61,2.280795126018347,0.14498348249183332,0.01670964732349934,61,61,61,2.5e-09,0.4,0.9999209430584958
62,2.321592710010009,0.14567249396040607,0.016711836471824892,62,62,62,2.5e-09,0.4,0.9999209430584958
63,2.3603410850046203,0.1464030193755358,0.016700339613198292,63,63,63,2.5e-09,0.4,0.9999209430584958
64,2.3980704600107856,0.147163556275668,0.016674049123125218,64,64,64,2.5e-09,0.4,0.9999209430584958
65,2.433612418011762,0.1479451641704168,0.016633243754010093,65,65,65,2.5e-09,0.4,0.9999209430584958
66,2.4694595010369085,0.14874132179769375,0.016579454492822783,66,66,66,2.5e-09,0.4,0.9999209430584958
67,2.509012793045258,0.1495475914326275,0.01651522402604424,67,67,67,2.5e-09,0.4,0.9999209430584958
