iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,0.5154493101582341,0.027373873418855155,0,1,0.001,1e-16,0
1,0.029202334000729024,0.5154493101582341,0.027373873418855155,0,2,0.002,1e-16,0
2,0.08679004199802876,0.343175404112974,0.03782764414485469,0,4,0.0018000000000000002,1e-16,0
3,0.11213762499392033,0.343175404112974,0.03782764414485469,0,5,0.0036000000000000003,1e-16,0
4,0.13755262500490062,0.343175404112974,0.03782764414485469,0,6,0.007200000000000001,1e-16,0
5,0.1616920829983428,0.343175404112974,0.03782764414485469,0,7,0.014400000000000001,1e-16,0
6,0.2191040420148056,0.2920115959014336,0.03290729736945406,0,9,0.014400000000000001,0.0008477024675697785,1
7,0.24485375100630336,0.2920115959014336,0.03290729736945406,0,10,0.028800000000000003,1e-16,0
8,0.3063584589981474,0.2754615312770809,0.022594164614534236,0,12,0.028800000000000003,0.0012320690810793602,1
9,0.3643559589982033,0.2705999950560927,0.03662109678855149,0,14,0.025920000000000002,1e-16,0
10,0.390825501002837,0.2705999950560927,0.03662109678855149,0,15,0.051840000000000004,1e-16,0
11,0.44604025100125,0.25827606743145054,0.01603297838706917,0,17,0.051840000000000004,0.001962242331073983,1
12,0.5022745429887436,0.2528896615914315,0.013995165010997703,0,19,0.051840000000000004,0.001962242331073983,2
13,0.5559589589829557,0.24608824698057236,0.013460903254940624,0,21,0.046656,1e-16,0
14,0.61302666796837,0.24253490403886013,0.012609626881564556,0,23,0.046656,0.00036996627301699524,1
15,0.6755587099760305,0.2375831002654923,0.012330696274144692,0,25,0.046656,0.00036996627301699524,2
16,0.7348850849666633,0.23124489098906914,0.012022039334601851,0,27,0.046656,0.00036996627301699524,3
17,0.7990694599575363,0.22371133642185984,0.011672686220033202,0,29,0.046656,0.00036996627301699524,4
18,0.8623699189629406,0.21515787793536745,0.011303741079206142,0,31,0.046656,0.00036996627301699524,5
19,0.9224670859694015,0.20576321147389404,0.010928044228941593,0,33,0.041990400000000004,1e-16,0
20,0.9868805449805222,0.2030109444510017,0.010688365961817358,0,35,0.041990400000000004,0.00018422990912548648,1
21,1.0489213779801503,0.19901815433166006,0.010549219807206816,0,37,0.041990400000000004,0.00018422990912548648,2
22,1.1169195449911058,0.19385578367765363,0.010398245129036157,0,39,0.041990400000000004,0.00018422990912548648,3
23,1.1822833789919969,0.1876576867179944,0.010242033335547303,0,41,0.041990400000000004,0.00018450721936471412,4
24,1.2397066289850045,0.18057577191901994,0.010097252488166144,0,43,0.041990400000000004,0.00018450721936471412,5
25,1.2976087539864238,0.1727977590406945,0.010976207265817252,0,45,0.03779136,1e-16,0
26,1.3626130449702032,0.17038977943651928,0.010304501879396381,0,47,0.03779136,0.0007549614552330478,1
27,1.4253813369723503,0.1672695003387881,0.01071203388388424,0,49,0.03779136,0.0007549614552330478,2
28,1.4879780449846294,0.1635909000302805,0.011805160946605808,0,51,0.03779136,0.0008765475552468106,3
29,1.545367628976237,0.16072384768197723,0.023644449470248286,0,53,0.034012224,1e-16,0
30,1.5717509209935088,0.16072384768197723,0.023644449470248286,0,54,0.068024448,1e-16,0
31,1.6303568790026475,0.15605984306637083,0.008702512419336908,0,56,0.068024448,0.0020615150552397658,1
32,1.6889862960088067,0.15439865459134108,0.008634293802749894,0,58,0.068024448,0.0020615150552397658,2
33,1.7475478379928973,0.15221683292212274,0.008544304167678582,0,60,0.068024448,0.0020615150552397658,3
34,1.8040172969922423,0.14954182304329608,0.008433572038657982,0,62,0.068024448,0.0020615150552397658,4
35,1.8603420050058048,0.1464058359875162,0.008303124980090185,0,64,0.0612220032,1e-16,0
36,1.9175560880103149,0.14528289807819114,0.008256600983785901,0,66,0.0612220032,6.001169592286408e-05,1
37,1.976013087987667,0.1436196276503777,0.008187550104188509,0,68,0.0612220032,6.655187521214375e-05,2
38,2.031614671985153,0.14143883179132916,0.008096717796196596,0,70,0.0612220032,6.963802689429976e-05,3
39,2.0888522139866836,0.13876921421391197,0.007985026314500408,0,72,0.0612220032,7.127379142422498e-05,4
40,2.1425800469878595,0.13564473363750662,0.007853561751499028,0,74,0.0612220032,7.21338798923793e-05,5
41,2.198730171978241,0.1321038769010511,0.007703560510200112,0,76,0.0612220032,7.250803231345098e-05,6
42,2.256585755996639,0.12818886763797796,0.007536395019410731,0,78,0.0612220032,7.254186315946424e-05,7
43,2.313839755981462,0.12394483221651048,0.0073535584966715455,0,80,0.0612220032,7.254186315946424e-05,8
44,2.3809104219835717,0.11941894492947905,0.00715664880782392,0,82,0.0612220032,7.254186315946424e-05,9
45,2.445786796975881,0.11465957399512447,0.006947351676463075,0,84,0.0612220032,7.254186315946424e-05,10
46,2.5045863799750805,0.10971544878775134,0.006727423551677235,0,86,0.0612220032,7.254186315946424e-05,11
47,2.5665703379781917,0.10463486695624832,0.006498674391825964,0,88,0.05509980288,1e-16,0
48,2.6280829219904263,0.10387035115622771,0.006465455580580083,0,90,0.05509980288,4.82622517362826e-05,1
49,2.687619463977171,0.10273670541022577,0.006416147686272365,0,92,0.05509980288,5.3949602434805554e-05,2
50,2.750062546983827,0.10124812038812701,0.006351201184237362,0,94,0.05509980288,5.682668889342806e-05,3
51,2.812245631008409,0.09942252095047752,0.006271173589291289,0,96,0.05509980288,5.83082966613685e-05,4
52,2.877155048015993,0.09728121375405342,0.006176727124636792,0,98,0.05509980288,5.914946923504895e-05,5
53,2.936682006024057,0.09484848289828662,0.0060686245133297085,0,100,0.05509980288,5.9517511290481876e-05,6
54,2.9966713810281362,0.092151143252971,0.005947720325042515,0,102,0.05509980288,5.96228518622381e-05,7
55,3.0527724230196327,0.08921806369928646,0.005814952440217671,0,104,0.05509980288,5.96228518622381e-05,8
56,3.1127541310270317,0.08607967142367023,0.0056713317209281895,0,106,0.05509980288,5.96228518622381e-05,9
57,3.1708567560417578,0.08276744927774374,0.005517934502973979,0,108,0.05509980288,5.96228518622381e-05,10
58,3.232918131048791,0.07931343613750537,0.005355892534632747,0,110,0.05509980288,5.96228518622381e-05,11
59,3.2905476730666123,0.0757497411978568,0.005186385687620493,0,112,0.049589822592,1e-16,0
60,3.349276715074666,0.07520862843814204,0.005161383939611913,0,114,0.049589822592,4.079902305614671e-05,1
61,3.40515900705941,0.07440572697693773,0.005124219680162488,0,116,0.049589822592,4.538321474900424e-05,2
62,3.461359049048042,0.07335054072946044,0.0050752001560474425,0,118,0.049589822592,4.783417513324189e-05,3
63,3.518791216047248,0.07205510356543685,0.005014706808489279,0,120,0.049589822592,4.897510962574112e-05,4
64,3.575375383050414,0.07053376010837534,0.004943192916067286,0,122,0.049589822592,4.979524772406972e-05,5
65,3.6363009240594693,0.06880291332890598,0.004861183324051645,0,124,0.049589822592,5.0026546631103634e-05,6
66,3.6948202160710935,0.06688074351521182,0.004769263771151543,0,126,0.049589822592,5.028639693898188e-05,7
67,3.754040258063469,0.06478690798674439,0.00466808510893043,0,128,0.049589822592,5.028639693898188e-05,8
68,3.8130732160643674,0.06254222401120518,0.004558341171029287,0,130,0.049589822592,5.028639693898188e-05,9
69,3.8704096750589088,0.06016834823978644,0.004440791986946677,0,132,0.049589822592,5.028639693898188e-05,10
70,3.9278506750706583,0.057687448561056634,0.004316212199872178,0,134,0.049589822592,5.028639693898188e-05,11
71,3.987153800087981,0.05512189077502662,0.004185461205575251,0,136,0.049589822592,5.028639693898188e-05,12
72,4.0440977161051705,0.052493921581689605,0.004049357964120231,0,138,0.0446308403328,1e-16,0
73,4.104511424113298,0.05212736440866522,0.004030911225439774,0,140,0.0446308403328,3.3464943944110814e-05,1
74,4.162621424125973,0.05158314075591698,0.004003508064780052,0,142,0.0446308403328,3.893565474793432e-05,2
75,4.21960925712483,0.050867342209212775,0.003967339479337092,0,144,0.0446308403328,3.950840819309739e-05,3
76,4.277616715116892,0.049987700409042574,0.003922699256993257,0,146,0.0446308403328,4.230880841431608e-05,4
77,4.338742632127833,0.048953458078155127,0.0038699933468301687,0,148,0.0446308403328,4.230880841431608e-05,5
78,4.396521798131289,0.047775221523670065,0.0038098195854459117,0,150,0.0446308403328,4.428400928444739e-05,6
79,4.455465673148865,0.04646481890495742,0.003743442790659707,0,152,0.0446308403328,4.428400928444739e-05,7
80,4.5139080891385674,0.0450351463711385,0.0036735205810778777,0,154,0.0446308403328,4.7359111678259805e-05,8
81,4.571713839133736,0.04350016700902351,0.0036080457860060526,0,156,0.0446308403328,4.7359111678259805e-05,9
82,4.631561131129274,0.04187505425800538,0.0035684648439792193,0,158,0.0446308403328,5.6531158017698174e-05,10
83,4.689940798125463,0.04017753346302942,0.0036215130670646726,0,160,0.0446308403328,5.6531158017698174e-05,11
84,4.74615125611308,0.038431480533000745,0.003943030589155859,0,162,0.040167756299520005,1e-16,0
85,4.805913131131092,0.038154572278558264,0.0038139841163642198,0,164,0.040167756299520005,0.0007884744903951863,1
86,4.863681048125727,0.037811379537907905,0.004211258123414767,0,166,0.040167756299520005,0.0007884744903951863,2
87,4.919138840137748,0.03747664597333977,0.00518212070530195,0,168,0.040167756299520005,0.0012050932077236054,3
88,4.974827923142584,0.037602342915204125,0.013083438079910508,0,170,0.036150980669568004,1e-16,0
89,5.000079673132859,0.037602342915204125,0.013083438079910508,0,171,0.07230196133913601,1e-16,0
90,5.059695006144466,0.036410243821327994,0.0032712249809199105,0,173,0.07230196133913601,0.002373646637974922,1
91,5.118371214164654,0.03619707195448345,0.0031915894266733203,0,175,0.07230196133913601,0.002373646637974922,2
92,5.175901631155284,0.035916594951036426,0.003166572566422487,0,177,0.07230196133913601,0.002373646637974922,3
