iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,76243836.44381285,388597.93804347026,0,0,0,2.5e-09,4000.0,0.999999209430585
1,0.021929624999756925,48892977.716885686,216376.60910328562,1,1,1,2.5e-09,4000.0,0.999999209430585
2,0.04553583299275488,29686313.29876919,127820.38922917249,2,2,2,2.5e-09,4000.0,0.999999209430585
3,0.06866279199311975,17671127.248653594,83850.8703446769,3,3,3,2.5e-09,4000.0,0.999999209430585
4,0.09167270798934624,10270460.573909933,61522.92966428634,4,4,4,2.5e-09,4000.0,0.999999209430585
5,0.11377708298095968,6158420.929667264,54241.54729092372,5,5,5,2.5e-09,4000.0,0.999999209430585
6,0.13508612498117145,4785232.229680689,59109.26374090719,6,6,6,2.5e-09,4000.0,0.999999209430585
7,0.15866749998531304,5676907.116283165,70812.25966504858,7,7,7,2.5e-09,4000.0,0.999999209430585
8,0.1830997089855373,8048415.974930668,82920.93545482334,8,8,8,2.5e-09,4000.0,0.999999209430585
9,0.20451845898060128,10947060.03253213,91799.40311628676,9,9,9,2.5e-09,4000.0,0.999999209430585
10,0.2241774999711197,13517675.128040481,96439.58259348005,10,10,10,2.5e-09,4000.0,0.999999209430585
11,0.2445974589791149,15176447.01196894,96891.00109887011,11,11,11,2.5e-09,4000.0,0.999999209430585
12,0.26537000098323915,15679304.133967806,93745.83396385913,12,12,12,2.5e-09,4000.0,0.999999209430585
13,0.2903435839834856,15083123.589826103,87909.31824972342,13,13,13,2.5e-09,4000.0,0.999999209430585
14,0.3137590839760378,13644626.283416584,80350.69925846945,14,14,14,2.5e-09,4000.0,0.999999209430585
15,0.33503095897322055,11715937.36723517,71916.13824095656,15,15,15,2.5e-09,4000.0,0.999999209430585
16,0.35666533398034517,9670234.14858476,63344.512451810486,16,16,16,2.5e-09,4000.0,0.999999209430585
17,0.3782572509808233,7851897.821441588,55475.805245534946,17,17,17,2.5e-09,4000.0,0.999999209430585
18,0.39867787598632276,6532721.805447439,49440.67535588412,18,18,18,2.5e-09,4000.0,0.999999209430585
19,0.42130558399367146,5867363.904603502,46481.94807434615,19,19,19,2.5e-09,4000.0,0.999999209430585
20,0.44196312500571366,5858837.344339058,47096.18365536003,20,20,20,2.5e-09,4000.0,0.999999209430585
21,0.46195537500898354,6356658.661799146,50309.04848977091,21,21,21,2.5e-09,4000.0,0.999999209430585
22,0.4837727500125766,7102195.919284753,54310.00852484929,22,22,22,2.5e-09,4000.0,0.999999209430585
23,0.5041484580142424,7807723.152391602,57546.79355822268,23,23,23,2.5e-09,4000.0,0.999999209430585
24,0.5268044160184218,8235741.674548518,59133.195187502366,24,24,24,2.5e-09,4000.0,0.999999209430585
25,0.5485762910102494,8250642.739248153,58764.50432550999,25,25,25,2.5e-09,4000.0,0.999999209430585
26,0.5699892910051858,7832892.023737762,56533.08727952031,26,26,26,2.5e-09,4000.0,0.999999209430585
27,0.5910773330106167,7061369.00566634,52776.92689491472,27,27,27,2.5e-09,4000.0,0.999999209430585
28,0.6104785000061383,6077243.24189868,47976.81585389294,28,28,28,2.5e-09,4000.0,0.999999209430585
29,0.6315590840094956,5043492.154392845,42696.98043789663,29,29,29,2.5e-09,4000.0,0.999999209430585
30,0.6520140840148088,4110324.5245113084,37564.13165620744,30,30,30,2.5e-09,4000.0,0.999999209430585
31,0.6713670840108534,3391241.8429148747,33261.580055592814,31,31,31,2.5e-09,4000.0,0.999999209430585
32,0.691772584017599,2950026.5951111475,30457.64166775275,32,32,32,2.5e-09,4000.0,0.999999209430585
33,0.7125498760142364,2797055.766860528,29561.36269725837,33,33,33,2.5e-09,4000.0,0.999999209430585
34,0.7347972100105835,2893500.160489171,30427.644711244935,34,34,34,2.5e-09,4000.0,0.999999209430585
35,0.7546097100130282,3162486.2584798234,32401.827956530906,35,35,35,2.5e-09,4000.0,0.999999209430585
36,0.7748499600129435,3505946.9840095285,34689.28335507325,36,36,36,2.5e-09,4000.0,0.999999209430585
37,0.7963876680150861,3824559.991556051,36644.56387066945,37,37,37,2.5e-09,4000.0,0.999999209430585
38,0.8153097930189688,4036676.482803989,37854.98098569354,38,38,38,2.5e-09,4000.0,0.999999209430585
39,0.8366694590222323,4092026.4512867797,38119.71438347962,39,39,39,2.5e-09,4000.0,0.999999209430585
40,0.8563372090138728,3977689.0202198057,37404.97717716315,40,40,40,2.5e-09,4000.0,0.999999209430585
41,0.8756657920021098,3716066.6036013514,35807.19942099755,41,41,41,2.5e-09,4000.0,0.999999209430585
42,0.8968534170126077,3356255.4515607916,33530.29410350374,42,42,42,2.5e-09,4000.0,0.999999209430585
43,0.9174099170049885,2961226.853437454,30870.412427148418,43,43,43,2.5e-09,4000.0,0.999999209430585
44,0.9398496250069002,2593777.9263997437,28197.95646912503,44,44,44,2.5e-09,4000.0,0.999999209430585
45,0.960315582997282,2304135.159222454,25919.737906985854,45,45,45,2.5e-09,4000.0,0.999999209430585
46,0.9795292079943465,2121436.8854480777,24394.25698612415,46,46,46,2.5e-09,4000.0,0.999999209430585
47,1.000425540987635,2050344.7194768856,23798.860221107345,47,47,47,2.5e-09,4000.0,0.999999209430585
48,1.0223992909886874,2072944.9550649086,24035.11090249078,48,48,48,2.5e-09,4000.0,0.999999209430585
49,1.042155790986726,2155035.2710922565,24780.51271195916,49,49,49,2.5e-09,4000.0,0.999999209430585
50,1.0637762489932356,2255050.7124020155,25645.21502180657,50,50,50,2.5e-09,4000.0,0.999999209430585
51,1.0917377079895232,2333493.261553306,26300.388189069523,51,51,51,2.5e-09,4000.0,0.999999209430585
52,1.1233092919865157,2360858.3824903965,26529.410903238655,52,52,52,2.5e-09,4000.0,0.999999209430585
53,1.1450102079834323,2322582.349698478,26231.116837995993,53,53,53,2.5e-09,4000.0,0.999999209430585
54,1.1675548749772133,2220309.6206452195,25406.690791869463,54,54,54,2.5e-09,4000.0,0.999999209430585
55,1.1888932919828221,2069649.6577606322,24143.439043700866,55,55,55,2.5e-09,4000.0,0.999999209430585
56,1.2104292089788942,1895349.054183374,22598.863874094593,56,56,56,2.5e-09,4000.0,0.999999209430585
57,1.2316142509662313,1725224.3141783688,20984.450041616,57,57,57,2.5e-09,4000.0,0.999999209430585
58,1.2525070009724004,1584217.8404897526,19542.20602412907,58,58,58,2.5e-09,4000.0,0.999999209430585
59,1.2736172919685487,1489696.3074894715,18500.229352259277,59,59,59,2.5e-09,4000.0,0.999999209430585
60,1.2954762089793803,1448746.2119392413,18003.280463065297,60,60,60,2.5e-09,4000.0,0.999999209430585
61,1.314980666982592,1457771.5210126785,18051.147537870915,61,61,61,2.5e-09,4000.0,0.999999209430585
62,1.33527379197767,1504222.7621348035,18499.334328768826,62,62,62,2.5e-09,4000.0,0.999999209430585
63,1.3593294169695582,1569894.3182172282,19126.822375354033,63,63,63,2.5e-09,4000.0,0.999999209430585
64,1.3807472919725114,1634988.27067424,19715.088696887808,64,64,64,2.5e-09,4000.0,0.999999209430585
65,1.4024913759785704,1682077.593349259,20095.507032710088,65,65,65,2.5e-09,4000.0,0.999999209430585
66,1.42383066797629,1699203.9091213192,20164.8259467456,66,66,66,2.5e-09,4000.0,0.999999209430585
67,1.4456926259736065,1681589.4987675776,19884.02372918128,67,67,67,2.5e-09,4000.0,0.999999209430585
68,1.4650348339782795,1631773.7086134376,19271.37208803124,68,68,68,2.5e-09,4000.0,0.999999209430585
69,1.4861702919733943,1558321.3613824637,18394.109388350455,69,69,69,2.5e-09,4000.0,0.999999209430585
70,1.5066972089844057,1473518.2918205387,17359.408550830496,70,70,70,2.5e-09,4000.0,0.999999209430585
71,1.5277878339838935,1390615.4857125403,16302.966986850523,71,71,71,2.5e-09,4000.0,0.999999209430585
72,1.5484205009852303,1321196.080177294,15371.259839148197,72,72,72,2.5e-09,4000.0,0.999999209430585
73,1.570839542982867,1273143.9533185884,14693.040299056509,73,73,73,2.5e-09,4000.0,0.999999209430585
74,1.5937039599812124,1249529.8747955014,14342.71285359332,74,74,74,2.5e-09,4000.0,0.999999209430585
75,1.61458408497856,1248534.6136882298,14313.16339430949,75,75,75,2.5e-09,4000.0,0.999999209430585
76,1.635583251976641,1264324.9823815245,14519.86199669063,76,76,76,2.5e-09,4000.0,0.999999209430585
77,1.6556972099788254,1288621.5562771028,14835.754759759877,77,77,77,2.5e-09,4000.0,0.999999209430585
78,1.6768877099675592,1312581.4513813446,15132.929761996846,78,78,78,2.5e-09,4000.0,0.999999209430585
79,1.6984539599652635,1328589.658917661,15310.885359262944,79,79,79,2.5e-09,4000.0,0.999999209430585
80,1.7220482099655783,1331611.0835806278,15308.361880436512,80,80,80,2.5e-09,4000.0,0.999999209430585
81,1.742691584964632,1319882.7883448584,15104.627551161926,81,81,81,2.5e-09,4000.0,0.999999209430585
82,1.7645655019587139,1294883.4506151082,14715.935142521557,82,82,82,2.5e-09,4000.0,0.999999209430585
83,1.7868332519719843,1260665.256634114,14189.865806518572,83,83,83,2.5e-09,4000.0,0.999999209430585
84,1.808645210971008,1222747.640793469,13597.673003401165,84,84,84,2.5e-09,4000.0,0.999999209430585
85,1.8292473779729335,1186838.1842722623,13023.37720483346,85,85,85,2.5e-09,4000.0,0.999999209430585
86,1.8510933779762127,1157653.1894228833,12548.478828120215,86,86,86,2.5e-09,4000.0,0.999999209430585
87,1.8708514609752456,1138060.6939786756,12233.275945511266,87,87,87,2.5e-09,4000.0,0.999999209430585
88,1.8902804609679151,1128681.7102639666,12100.133367984366,88,88,88,2.5e-09,4000.0,0.999999209430585
89,1.9103194189665373,1127984.7456235331,12127.34337937531,89,89,89,2.5e-09,4000.0,0.999999209430585
90,1.932257751977886,1132809.3503070208,12258.305153777606,90,90,90,2.5e-09,4000.0,0.999999209430585
91,1.9540548349759774,1139171.5085314086,12420.990840806246,91,91,91,2.5e-09,4000.0,0.999999209430585
92,1.9747148769820342,1143156.5829269881,12547.537052038282,92,92,92,2.5e-09,4000.0,0.999999209430585
93,1.9961591689789202,1141705.6623438783,12587.395460482465,93,93,93,2.5e-09,4000.0,0.999999209430585
94,2.0182131689798553,1133143.6891182147,12513.302577972354,94,94,94,2.5e-09,4000.0,0.999999209430585
95,2.0413304189714836,1117368.026619144,12322.01801078019,95,95,95,2.5e-09,4000.0,0.999999209430585
96,2.064138376968913,1095696.8972894484,12031.719127239992,96,96,96,2.5e-09,4000.0,0.999999209430585
97,2.084428460977506,1070449.6134647995,11677.15027966184,97,97,97,2.5e-09,4000.0,0.999999209430585
98,2.1050378779764287,1044377.6397302155,11303.038891052338,98,98,98,2.5e-09,4000.0,0.999999209430585
99,2.1259437109838473,1020078.7796146891,10956.061668240536,99,99,99,2.5e-09,4000.0,0.999999209430585
100,2.145955043975846,999509.7681624137,10675.899658662587,100,100,100,2.5e-09,4000.0,0.999999209430585
101,2.166909918974852,983677.1007599285,10486.818350952106,101,101,101,2.5e-09,4000.0,0.999999209430585
102,2.188088335969951,972543.8196586104,10392.319526108815,102,102,102,2.5e-09,4000.0,0.999999209430585
103,2.2089551269746153,965147.644587398,10375.323089886742,103,103,103,2.5e-09,4000.0,0.999999209430585
104,2.229877959965961,959887.0963797492,10404.112964650356,104,104,104,2.5e-09,4000.0,0.999999209430585
105,2.251754250974045,954903.2573388099,10441.440401448832,105,105,105,2.5e-09,4000.0,0.999999209430585
106,2.2725948759762105,948472.426498772,10453.258118956155,106,106,106,2.5e-09,4000.0,0.999999209430585
107,2.2934550429781666,939331.3128281609,10414.877586448738,107,107,107,2.5e-09,4000.0,0.999999209430585
108,2.315664167981595,926877.6213561248,10314.129760678528,108,108,108,2.5e-09,4000.0,0.999999209430585
109,2.3362458759802394,911218.4633852292,10152.021440080473,109,109,109,2.5e-09,4000.0,0.999999209430585
110,2.358135375980055,893071.0741091535,9941.42449703815,110,110,110,2.5e-09,4000.0,0.999999209430585
111,2.3808664589887485,873549.5592309303,9704.092948937663,111,111,111,2.5e-09,4000.0,0.999999209430585
112,2.4025941669824533,853892.4445757838,9466.217629720013,112,112,112,2.5e-09,4000.0,0.999999209430585
113,2.4253937089815736,835193.9902450668,9252.989218821198,113,113,113,2.5e-09,4000.0,0.999999209430585
114,2.447818792978069,818195.4878487804,9083.176806967313,114,114,114,2.5e-09,4000.0,0.999999209430585
115,2.4698154179786798,803173.4070808362,8965.158305093815,115,115,115,2.5e-09,4000.0,0.999999209430585
116,2.49119200198038,789935.8083251617,8895.656530575567,116,116,116,2.5e-09,4000.0,0.999999209430585
117,2.5106716269801836,777914.5436104371,8861.512788499509,117,117,117,2.5e-09,4000.0,0.999999209430585
118,2.531517460971372,766323.5564476403,8843.688607083464,118,118,118,2.5e-09,4000.0,0.999999209430585
119,2.5526778779603774,754344.6395735354,8822.049530691778,119,119,119,2.5e-09,4000.0,0.999999209430585
120,2.572999918964342,741301.0289535373,8779.595702494878,120,120,120,2.5e-09,4000.0,0.999999209430585
121,2.5941241269611055,726785.5460163774,8705.352625885442,121,121,121,2.5e-09,4000.0,0.999999209430585
122,2.6150013769656653,710722.2964303561,8595.702751868295,122,122,122,2.5e-09,4000.0,0.999999209430585
123,2.635997168967151,693356.3881406352,8454.300039080545,123,123,123,2.5e-09,4000.0,0.999999209430585
124,2.6566147939593066,675181.0545773931,8290.838685839452,124,124,124,2.5e-09,4000.0,0.999999209430585
125,2.6784753349638777,656822.8841940814,8118.9364018783135,125,125,125,2.5e-09,4000.0,0.999999209430585
126,2.697924792955746,638911.9558222773,7953.389407828898,126,126,126,2.5e-09,4000.0,0.999999209430585
127,2.7187022509606322,621964.1616141566,7807.173064329496,127,127,127,2.5e-09,4000.0,0.999999209430585
128,2.739193750967388,606298.1967677528,7688.772794847393,128,128,128,2.5e-09,4000.0,0.999999209430585
129,2.759064875965123,592000.6645845625,7600.547917549934,129,129,129,2.5e-09,4000.0,0.999999209430585
130,2.779886625954532,578941.4452231186,7538.640573232459,130,130,130,2.5e-09,4000.0,0.999999209430585
131,2.800250584958121,566830.5627040879,7494.4278268305225,131,131,131,2.5e-09,4000.0,0.999999209430585
132,2.8205665849673096,555299.9103050266,7456.9540021219545,132,132,132,2.5e-09,4000.0,0.999999209430585
133,2.840091126970947,543990.0807615856,7415.524023165829,133,133,133,2.5e-09,4000.0,0.999999209430585
134,2.8606372519716388,532624.3013006658,7361.790459857081,134,134,134,2.5e-09,4000.0,0.999999209430585
135,2.881987668966758,521056.6873004614,7291.025438172281,135,135,135,2.5e-09,4000.0,0.999999209430585
136,2.9022088349593105,509288.71748379833,7202.564209422869,136,136,136,2.5e-09,4000.0,0.999999209430585
137,2.9219871259556385,497454.44551831856,7099.5287020724845,137,137,137,2.5e-09,4000.0,0.999999209430585
138,2.9438045009592315,485780.6460608201,6987.949619296013,138,138,138,2.5e-09,4000.0,0.999999209430585
139,2.9632199589686934,474532.2805321723,6875.4212255305565,139,139,139,2.5e-09,4000.0,0.999999209430585
140,2.9838219169760123,463955.7028825863,6769.502944865725,140,140,140,2.5e-09,4000.0,0.999999209430585
141,3.0055715419730404,454231.3484984884,6676.187858032537,141,141,141,2.5e-09,4000.0,0.999999209430585
142,3.025471791974269,445444.3625996032,6598.791453062337,142,142,142,2.5e-09,4000.0,0.999999209430585
143,3.046039541979553,437576.78015819663,6537.507625617943,143,143,143,2.5e-09,4000.0,0.999999209430585
144,3.065718666970497,430520.0353104494,6489.670380065295,144,144,144,2.5e-09,4000.0,0.999999209430585
145,3.0868060009670444,424102.98772963474,6450.563084911131,145,145,145,2.5e-09,4000.0,0.999999209430585
146,3.1087010429619113,418128.70115055784,6414.520700333991,146,146,146,2.5e-09,4000.0,0.999999209430585
147,3.1295580429577967,412412.64845331793,6376.076079536465,147,147,147,2.5e-09,4000.0,0.999999209430585
148,3.1512346269591944,406815.4844375533,6330.956562127758,148,148,148,2.5e-09,4000.0,0.999999209430585
149,3.1724836269568186,401264.8497338624,6276.794598460909,149,149,149,2.5e-09,4000.0,0.999999209430585
150,3.1925572109466884,395762.80647508474,6213.461913848291,150,150,150,2.5e-09,4000.0,0.999999209430585
151,3.211975043945131,390378.3033340307,6142.981421108726,151,151,151,2.5e-09,4000.0,0.999999209430585
152,3.2330765439546667,385227.0795764222,6069.029326137764,152,152,152,2.5e-09,4000.0,0.999999209430585
153,3.253251960952184,380443.95863017265,5996.1147488554925,153,153,153,2.5e-09,4000.0,0.999999209430585
154,3.2732402949477546,376153.870594869,5928.602809647873,154,154,154,2.5e-09,4000.0,0.999999209430585
155,3.294765294951503,372447.7904005832,5869.803100130659,155,155,155,2.5e-09,4000.0,0.999999209430585
156,3.3153429609519662,369368.14744291955,5821.347058528528,156,156,156,2.5e-09,4000.0,0.999999209430585
157,3.3368373359553516,366905.65026267106,5783.004442012186,157,157,157,2.5e-09,4000.0,0.999999209430585
158,3.3563688779540826,365006.64751440653,5752.953359140798,158,158,158,2.5e-09,4000.0,0.999999209430585
159,3.3764519609540002,363587.9174184386,5728.374978051571,159,159,159,2.5e-09,4000.0,0.999999209430585
160,3.3976719189668074,362554.69454137154,5706.162857115823,160,160,160,2.5e-09,4000.0,0.999999209430585
161,3.4182065859640716,361817.8951181524,5683.551186164723,161,161,161,2.5e-09,4000.0,0.999999209430585
162,3.4372244609694462,361307.52989547525,5658.548606270523,162,162,162,2.5e-09,4000.0,0.999999209430585
163,3.4585141279676463,360980.6369649452,5630.154744126152,163,163,163,2.5e-09,4000.0,0.999999209430585
164,3.4805999609670835,360823.2786825361,5598.390241785645,164,164,164,2.5e-09,4000.0,0.999999209430585
165,3.5013328359636944,360847.0550511105,5564.18083171934,165,165,165,2.5e-09,4000.0,0.999999209430585
166,3.522660335962428,361081.2472300356,5529.123474059673,166,166,166,2.5e-09,4000.0,0.999999209430585
167,3.542924585955916,361562.23049377557,5495.155702562933,167,167,167,2.5e-09,4000.0,0.999999209430585
168,3.5637898359564133,362322.1965085275,5464.163526989566,168,168,168,2.5e-09,4000.0,0.999999209430585
169,3.5839967519568745,363379.3744912959,5437.592803744189,169,169,169,2.5e-09,4000.0,0.999999209430585
170,3.604903918952914,364731.67279861786,5416.152007729724,170,170,170,2.5e-09,4000.0,0.999999209430585
171,3.6247127099632053,366354.9140287626,5399.6875405596265,171,171,171,2.5e-09,4000.0,0.999999209430585
172,3.645229625966749,368205.7454896307,5387.267228257765,172,172,172,2.5e-09,4000.0,0.999999209430585
173,3.6652225839643506,370228.199482373,5377.438526696437,173,173,173,2.5e-09,4000.0,0.999999209430585
174,3.6865231679548742,372362.1358067796,5368.5700977635215,174,174,174,2.5e-09,4000.0,0.999999209430585
175,3.7060966679564444,374551.6528964856,5359.171704386137,175,175,175,2.5e-09,4000.0,0.999999209430585
176,3.725317501957761,376751.94402128283,5348.121997652446,176,176,176,2.5e-09,4000.0,0.999999209430585
177,3.7445909599628067,378933.7068846994,5334.787679975775,177,177,177,2.5e-09,4000.0,0.999999209430585
178,3.7637540009600343,381084.7827618797,5319.0535982449455,178,178,178,2.5e-09,4000.0,0.999999209430585
179,3.7821689599659294,383209.08394666994,5301.286827710618,179,179,179,2.5e-09,4000.0,0.999999209430585
180,3.80302050197497,385323.13894441107,5282.243203074671,180,180,180,2.5e-09,4000.0,0.999999209430585
181,3.822466376979719,387450.86125824274,5262.916630513321,181,181,181,2.5e-09,4000.0,0.999999209430585
182,3.842354043983505,389617.4456749349,5244.341937535406,182,182,182,2.5e-09,4000.0,0.999999209430585
183,3.8625198769877898,391843.5087445637,5227.383933484903,183,183,183,2.5e-09,4000.0,0.999999209430585
184,3.8823742519889493,394140.57755658997,5212.562201504114,184,184,184,2.5e-09,4000.0,0.999999209430585
185,3.9018342929775827,396508.72597398655,5199.959610169154,185,185,185,2.5e-09,4000.0,0.999999209430585
186,3.922616917974665,398936.62017432996,5189.239316253096,186,186,186,2.5e-09,4000.0,0.999999209430585
187,3.943207084972528,401403.63889933267,5179.758531354052,187,187,187,2.5e-09,4000.0,0.999999209430585
188,3.964171125975554,403883.2897422371,5170.73524025711,188,188,188,2.5e-09,4000.0,0.999999209430585
189,3.985807209974155,406346.99103406107,5161.41354764762,189,189,189,2.5e-09,4000.0,0.999999209430585
190,4.006664543965599,408767.42139019986,5151.187920443955,190,190,190,2.5e-09,4000.0,0.999999209430585
191,4.027870501973666,411120.9223795795,5139.673046174781,191,191,191,2.5e-09,4000.0,0.999999209430585
192,4.048176417971263,413388.72154235246,5126.725925612557,192,192,192,2.5e-09,4000.0,0.999999209430585
193,4.0695211259735515,415556.94953240704,5112.4314758026085,193,193,193,2.5e-09,4000.0,0.999999209430585
194,4.0896473759785295,417615.5756673223,5097.057602946835,194,194,194,2.5e-09,4000.0,0.999999209430585
195,4.1109009589854395,419556.53084472107,5080.981521998385,195,195,195,2.5e-09,4000.0,0.999999209430585
196,4.132577291995403,421371.43933029776,5064.5926151222075,196,196,196,2.5e-09,4000.0,0.999999209430585
197,4.153708583005937,423049.49986006913,5048.186547125731,197,197,197,2.5e-09,4000.0,0.999999209430585
198,4.1770628330123145,424576.0765426849,5031.873980907232,198,198,198,2.5e-09,4000.0,0.999999209430585
199,4.1996951660112245,425932.4369675311,5015.529503014957,199,199,199,2.5e-09,4000.0,0.999999209430585
200,4.220703957020305,427096.80913926114,4998.8006272269095,200,200,200,2.5e-09,4000.0,0.999999209430585
201,4.24172349901346,428046.5678410201,4981.18306552305,201,201,201,2.5e-09,4000.0,0.999999209430585
