iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
0,0,76243836.44381285,388597.93804347026,0,1,0.001,0,0
1,0.018923958006780595,76243836.44381285,388597.93804347026,0,2,0.002,0,0
2,0.038630916009424254,76243836.44381285,388597.93804347026,0,3,0.004,0,0
3,0.0582902910100529,76243836.44381285,388597.93804347026,0,4,0.008,0,0
4,0.07676629100751597,76243836.44381285,388597.93804347026,0,5,0.016,0,0
5,0.0964529580087401,76243836.44381285,388597.93804347026,0,6,0.032,0,0
6,0.11535316699882969,76243836.44381285,388597.93804347026,0,7,0.064,0,0
7,0.1339013749966398,76243836.44381285,388597.93804347026,0,8,0.128,0,0
8,0.15617954099434428,76243836.44381285,388597.93804347026,0,9,0.256,0,0
9,0.17825854098191485,76243836.44381285,388597.93804347026,0,10,0.512,0,0
10,0.20023899897933006,76243836.44381285,388597.93804347026,0,11,1.024,0,0
11,0.22118616497027688,76243836.44381285,388597.93804347026,0,12,2.048,0,0
12,0.2419019979715813,76243836.44381285,388597.93804347026,0,13,4.096,0,0
13,0.26162853896676097,76243836.44381285,388597.93804347026,0,14,8.192,0,0
14,0.2817539139650762,76243836.44381285,388597.93804347026,0,15,16.384,0,0
15,0.3027838729612995,76243836.44381285,388597.93804347026,0,16,32.768,0,0
16,0.3232340809627203,76243836.44381285,388597.93804347026,0,17,65.536,0,0
17,0.3445171639614273,76243836.44381285,388597.93804347026,0,18,131.072,0,0
18,0.36375666395178996,76243836.44381285,388597.93804347026,0,19,262.144,0,0
19,0.3839611219445942,76243836.44381285,388597.93804347026,0,20,524.288,0,0
20,0.40299408094142564,76243836.44381285,388597.93804347026,0,21,1048.576,0,0
21,0.42077087293728255,24601678.0934192,243705.17121381857,0,22,2097.152,0,0
22,0.4385758729331428,24601678.0934192,243705.17121381857,0,23,4194.304,0,0
23,0.4583045389299514,21959728.840813,376150.9557013604,0,24,8388.608,0,0
24,0.4759304559265729,21959728.840813,376150.9557013604,0,25,16777.216,0,0
25,0.4948337479290785,19611202.598556377,92062.06582955788,0,26,33554.432,0,0
26,0.530319831930683,19360543.137972377,90717.05849897374,0,28,33554.432,7.396789799218894,1
