iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,1996670032970.1301,4613951875.555792,0,1,0.001
1,0.30689420898852404,383666472096.87836,1622091936.0077422,0,35,7730941.132800001
2,0.31590550098917447,137571839380.80212,798823193.3941042,0,36,6957847.019520001
3,0.32559654298529495,65895334735.98052,474076593.4996136,0,37,6262062.317568
4,0.33550729298440274,36588229494.88613,310562874.5940994,0,38,5635856.085811201
5,0.3449226679804269,22218779686.676884,216258649.22751212,0,39,5072270.47723008
6,0.3529837099922588,14326745079.261852,156956130.12054074,0,40,4565043.429507072
7,0.3611540010024328,9642651311.224255,117361630.57196757,0,41,4108539.086556365
8,0.3695785840100143,6701807560.452092,89743246.18826911,0,42,3697685.1779007283
9,0.37919054202211555,4775304838.40514,69830514.33913068,0,43,3327916.6601106557
10,0.38858520903158933,3470649784.8333282,55099364.97270068,0,44,2995124.99409959
11,0.39868729202135,2563203375.927779,43975029.77525262,0,45,2695612.4946896313
12,0.4082226250175154,1918041044.3645797,35431303.99593832,0,46,2426051.245220668
13,0.41721708301338367,1450902892.0050514,28775944.236279823,0,47,2183446.1206986015
14,0.42688541702227667,1107450188.695918,23530989.443660278,0,48,1965101.5086287414
15,0.43613791702955496,851734923.2426003,19387585.60261803,0,49,1768591.3577658674
16,0.44568679203803185,660288575.4784728,16594344.87098385,0,50,1591732.2219892808
17,0.45479070802684873,532589781.5651608,22156213.117823604,0,51,1432558.9997903528
18,0.48508929103263654,485599220.9634523,14391414.711645143,0,54,5157212.3992452705
19,0.49610887504240964,453057824.53473246,12637420.848032158,0,55,4641491.159320744
20,0.5062357920396607,421914968.4224845,11779746.909764685,0,56,4177342.0433886694
21,0.5159825000300771,391097671.66352695,11118713.716782691,0,57,3759607.8390498026
22,0.525933208031347,360680757.10961384,10566473.66629038,0,58,3383647.055144822
23,0.5363227490306599,331023638.9463649,10229632.54377592,0,59,3045282.34963034
24,0.5447475820401451,302999764.3518055,10613757.158988329,0,60,2740754.114667306
25,0.552934041043045,280006217.4747142,13639584.52952392,0,61,2466678.7032005754
26,0.5802164160413668,265978416.3038237,8442630.689896515,0,64,8880043.331522072
27,0.5896160830452573,258251065.54054075,8012349.324354789,0,65,7992038.998369865
