iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,1996670032970.1301,4613951875.555792,0,0,0,2.4999999999999996e-09,40000000.0,0.9999999920943059
1,0.012389667012030259,1504362003231.7988,3926114048.022072,1,1,1,2.4999999999999996e-09,40000000.0,0.9999999920943059
2,0.024501584004610777,846448062210.9299,2794689737.4076967,2,2,2,2.4999999999999996e-09,40000000.0,0.9999999920943059
3,0.036716543007059954,342363555004.57166,1546117626.3888698,3,3,3,2.4999999999999996e-09,40000000.0,0.9999999920943059
4,0.04844408400822431,135584958195.22774,837281929.4354428,4,4,4,2.4999999999999996e-09,40000000.0,0.9999999920943059
5,0.06056720900232904,177427470703.2498,1358429695.8165152,5,5,5,2.4999999999999996e-09,40000000.0,0.9999999920943059
6,0.07163654200849123,320050183108.8422,1952724958.4644792,6,6,6,2.4999999999999996e-09,40000000.0,0.9999999920943059
7,0.08301437500631437,428877750905.7781,2228368654.83182,7,7,7,2.4999999999999996e-09,40000000.0,0.9999999920943059
8,0.09413700000732206,445820833846.91595,2185545119.4664817,8,8,8,2.4999999999999996e-09,40000000.0,0.9999999920943059
9,0.1064815840072697,387307824777.12976,1918720735.4729283,9,9,9,2.4999999999999996e-09,40000000.0,0.9999999920943059
10,0.11842900101328269,303487173907.018,1566024442.2834957,10,10,10,2.4999999999999996e-09,40000000.0,0.9999999920943059
11,0.13006262601993512,236423239420.17233,1278074925.1625285,11,11,11,2.4999999999999996e-09,40000000.0,0.9999999920943059
12,0.14280937601870392,200702842948.8683,1153954660.6686292,12,12,12,2.4999999999999996e-09,40000000.0,0.9999999920943059
13,0.15518820901343133,187802036608.85382,1157720522.86626,13,13,13,2.4999999999999996e-09,40000000.0,0.9999999920943059
14,0.168498000013642,181556844794.3283,1178861885.6733506,14,14,14,2.4999999999999996e-09,40000000.0,0.9999999920943059
15,0.18036779201065656,171054427463.67346,1151921281.4478934,15,15,15,2.4999999999999996e-09,40000000.0,0.9999999920943059
16,0.19282787600241136,154586813209.62592,1072808705.6855316,16,16,16,2.4999999999999996e-09,40000000.0,0.9999999920943059
17,0.20535979300620966,136287466635.87856,971078914.002494,17,17,17,2.4999999999999996e-09,40000000.0,0.9999999920943059
18,0.2187507100024959,120719441610.37773,882400519.7764217,18,18,18,2.4999999999999996e-09,40000000.0,0.9999999920943059
19,0.2304748769965954,109629700210.66261,825678523.598275,19,19,19,2.4999999999999996e-09,40000000.0,0.9999999920943059
20,0.24232379399472848,101930256544.38171,794312429.4757596,20,20,20,2.4999999999999996e-09,40000000.0,0.9999999920943059
