iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,1996670032970.1301,4613951875.555792,0,1,0.001,1e-16,0
1,0.009109916994930245,1996670032970.1301,4613951875.555792,0,2,0.002,1e-16,0
2,0.018782958984957077,1996670032970.1301,4613951875.555792,0,3,0.004,1e-16,0
3,0.028357499992125668,1996670032970.1301,4613951875.555792,0,4,0.008,1e-16,0
4,0.03712154200184159,1996670032970.1301,4613951875.555792,0,5,0.016,1e-16,0
5,0.04565062500478234,1996670032970.1301,4613951875.555792,0,6,0.032,1e-16,0
6,0.056488500005798414,1996670032970.1301,4613951875.555792,0,7,0.064,1e-16,0
7,0.06491174999973737,1996670032970.1301,4613951875.555792,0,8,0.128,1e-16,0
8,0.07392608300142456,1996670032970.1301,4613951875.555792,0,9,0.256,1e-16,0
9,0.08493625000119209,1996670032970.1301,4613951875.555792,0,10,0.512,1e-16,0
10,0.09565316700900439,1996670032970.1301,4613951875.555792,0,11,1.024,1e-16,0
11,0.10588158400787506,1996670032970.1301,4613951875.555792,0,12,2.048,1e-16,0
12,0.11532916799478699,1996670032970.1301,4613951875.555792,0,13,4.096,1e-16,0
13,0.12584333500126377,1996670032970.1301,4613951875.555792,0,14,8.192,1e-16,0
14,0.13491712699760683,1996670032970.1301,4613951875.555792,0,15,16.384,1e-16,0
15,0.14585496101062745,1996670032970.1301,4613951875.555792,0,16,32.768,1e-16,0
16,0.15709833601431455,1996670032970.1301,4613951875.555792,0,17,65.536,1e-16,0
17,0.16661079501500353,1996670032970.1301,4613951875.555792,0,18,131.072,1e-16,0
18,0.17662583701894619,1996670032970.1301,4613951875.555792,0,19,262.144,1e-16,0
19,0.18786842002009507,1996670032970.1301,4613951875.555792,0,20,524.288,1e-16,0
20,0.1986110860161716,1996670032970.1301,4613951875.555792,0,21,1048.576,1e-16,0
21,0.2087716690148227,1996670032970.1301,4613951875.555792,0,22,2097.152,1e-16,0
22,0.2194132530130446,1996670032970.1301,4613951875.555792,0,23,4194.304,1e-16,0
23,0.22925179502635729,1996670032970.1301,4613951875.555792,0,24,8388.608,1e-16,0
24,0.23854692003806122,1996670032970.1301,4613951875.555792,0,25,16777.216,1e-16,0
25,0.24921233704662882,1996670032970.1301,4613951875.555792,0,26,33554.432,1e-16,0
26,0.25980608703684993,1996670032970.1301,4613951875.555792,0,27,67108.864,1e-16,0
27,0.27125333703588694,1996670032970.1301,4613951875.555792,0,28,134217.728,1e-16,0
28,0.2814625870232703,1996670032970.1301,4613951875.555792,0,29,268435.456,1e-16,0
29,0.2922952540247934,1996670032970.1301,4613951875.555792,0,30,536870.912,1e-16,0
30,0.3019186710153008,1996670032970.1301,4613951875.555792,0,31,1073741.824,1e-16,0
31,0.3102227540075546,1996670032970.1301,4613951875.555792,0,32,2147483.648,1e-16,0
32,0.32047475400031544,1996670032970.1301,4613951875.555792,0,33,4294967.296,1e-16,0
