iter,elapsed_time,obj,gradnorm,eval,grad
1,1.1234442919958383,1626153564084.1504,4106198956.4474006,0,5
2,1.1105650420067832,74029202355.36661,520636462.76922274,0,6
4,1.1659480000089388,9635159335.038563,183707870.65255126,0,8
8,1.3895249999914085,1705988589.2319083,47534472.32899899,0,12
16,1.7166310000029625,111546841.99812436,7184852.258028486,0,21
32,2.608725208992837,8891700.38868029,1845182.5622072555,0,37
64,4.44730216600874,673647.8974375831,561955.7110950337,0,70
128,7.836859707997064,44294.51144797266,55330.041120424656,0,136
256,14.785795332994894,2536.342595799641,17553.58224666771,0,268
512,29.002434166992316,329.6007088113701,2266.798677445583,0,529
1024,57.95980291700107,5.64978364843363,446.1032358942801,0,1053
