iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,799559695.9488217,3198239.450666235,0,0,0,2.4999999999999996e-09,40000.0,0.99999975
1,0.013038083998253569,580497323.2732803,2349078.6916684015,1,1,1,2.4999999999999996e-09,40000.0,0.99999975
2,0.026028500986285508,352581878.9287671,1493321.590063989,2,2,2,2.4999999999999996e-09,40000.0,0.99999975
3,0.03869991698593367,193843655.73716366,882671.967251518,3,3,3,2.4999999999999996e-09,40000.0,0.99999975
4,0.05170808399270754,104717674.64448656,523249.9672904141,4,4,4,2.4999999999999996e-09,40000.0,0.99999975
5,0.06558125099400058,62938359.15118775,356200.4665621278,5,5,5,2.4999999999999996e-09,40000.0,0.99999975
6,0.07895358398673125,48032960.64339907,317890.20630590187,6,6,6,2.4999999999999996e-09,40000.0,0.99999975
7,0.09198312598164193,47627387.4661528,360512.33693880937,7,7,7,2.4999999999999996e-09,40000.0,0.99999975
8,0.10542995897412766,55988398.44952264,452096.3397298524,8,8,8,2.4999999999999996e-09,40000.0,0.99999975
9,0.1192622919625137,70479534.63147995,565688.077833954,9,9,9,2.4999999999999996e-09,40000.0,0.99999975
10,0.13310445897514,88836749.51587895,676812.2036667251,10,10,10,2.4999999999999996e-09,40000.0,0.99999975
11,0.1456409169768449,108277145.73199111,767840.1760045919,11,11,11,2.4999999999999996e-09,40000.0,0.99999975
12,0.15964945797168184,125939029.69246878,829351.4467127122,12,12,12,2.4999999999999996e-09,40000.0,0.99999975
13,0.1732217499811668,139684169.85318354,859599.2771059013,13,13,13,2.4999999999999996e-09,40000.0,0.99999975
14,0.18657870798779186,148520036.2229171,862502.5433483203,14,14,14,2.4999999999999996e-09,40000.0,0.99999975
15,0.2001550829882035,152481455.755065,844686.4963297151,15,15,15,2.4999999999999996e-09,40000.0,0.99999975
16,0.2130734999955166,152233904.54062745,812870.7746927807,16,16,16,2.4999999999999996e-09,40000.0,0.99999975
17,0.22606662499310914,148694384.54453817,772537.2261629459,17,17,17,2.4999999999999996e-09,40000.0,0.99999975
18,0.23941199998080265,142794014.65833881,727767.843768852,18,18,18,2.4999999999999996e-09,40000.0,0.99999975
19,0.2523125409788918,135369998.73088315,681569.656475326,19,19,19,2.4999999999999996e-09,40000.0,0.99999975
20,0.2651763329777168,127140076.10475855,636227.2165198905,20,20,20,2.4999999999999996e-09,40000.0,0.99999975
21,0.27871454096748494,118713076.94517697,593718.6426693647,21,21,21,2.4999999999999996e-09,40000.0,0.99999975
22,0.2928561239677947,110592406.99698398,555924.2207233062,22,22,22,2.4999999999999996e-09,40000.0,0.99999975
23,0.30586245797167066,103164977.64883743,524416.5135619671,23,23,23,2.4999999999999996e-09,40000.0,0.99999975
24,0.3220087499648798,96690695.67126383,500157.43153514754,24,24,24,2.4999999999999996e-09,40000.0,0.99999975
25,0.33760195797367487,91300541.61404957,483282.345067406,25,25,25,2.4999999999999996e-09,40000.0,0.99999975
26,0.35097733297152445,87007775.47587839,473021.02515193296,26,26,26,2.4999999999999996e-09,40000.0,0.99999975
27,0.3639463329600403,83733895.5404615,467930.93593876116,27,27,27,2.4999999999999996e-09,40000.0,0.99999975
28,0.3765698329661973,81338954.04285754,466388.6162895287,28,28,28,2.4999999999999996e-09,40000.0,0.99999975
29,0.3895432909630472,79643285.50474069,466904.34884744126,29,29,29,2.4999999999999996e-09,40000.0,0.99999975
30,0.4044556239678059,78443787.77634439,468131.71059977764,30,30,30,2.4999999999999996e-09,40000.0,0.99999975
31,0.41928583195840474,77535348.12224412,468874.54657847155,31,31,31,2.4999999999999996e-09,40000.0,0.99999975
32,0.4317314569634618,76737029.36975193,468221.85411101714,32,32,32,2.4999999999999996e-09,40000.0,0.99999975
33,0.445260664972011,75912758.81446952,465677.86351819895,33,33,33,2.4999999999999996e-09,40000.0,0.99999975
34,0.4590664979623398,74978300.44995698,461158.69669348333,34,34,34,2.4999999999999996e-09,40000.0,0.99999975
35,0.4744638309639413,73895002.30620457,454868.39456305944,35,35,35,2.4999999999999996e-09,40000.0,0.99999975
36,0.4878414979611989,72656645.83129537,447149.23225477745,36,36,36,2.4999999999999996e-09,40000.0,0.99999975
37,0.5015527069481323,71275803.90721321,438365.21273465775,37,37,37,2.4999999999999996e-09,40000.0,0.99999975
38,0.5156490819499595,69773934.02817439,428826.14986403205,38,38,38,2.4999999999999996e-09,40000.0,0.99999975
39,0.5291759979591006,68177035.73088305,418764.88822310354,39,39,39,2.4999999999999996e-09,40000.0,0.99999975
40,0.5421732899703784,66515418.34861982,408376.81352853077,40,40,40,2.4999999999999996e-09,40000.0,0.99999975
41,0.5558615399640985,64823692.323897116,397873.58080852975,41,41,41,2.4999999999999996e-09,40000.0,0.99999975
42,0.5692508729698602,63138487.44934703,387487.96189373644,42,42,42,2.4999999999999996e-09,40000.0,0.99999975
43,0.5827535809658002,61494759.94638582,377436.3863607238,43,43,43,2.4999999999999996e-09,40000.0,0.99999975
44,0.5952934559609275,59922599.69668947,367891.436422216,44,44,44,2.4999999999999996e-09,40000.0,0.99999975
45,0.6083162059512688,58445052.36288941,358980.9336927953,45,45,45,2.4999999999999996e-09,40000.0,0.99999975
46,0.6221350389532745,57076582.53091354,350786.94211035024,46,46,46,2.4999999999999996e-09,40000.0,0.99999975
47,0.6353470799513161,55822438.20042127,343329.9102746932,47,47,47,2.4999999999999996e-09,40000.0,0.99999975
48,0.6491212049440946,54679695.898868844,336559.8569234028,48,48,48,2.4999999999999996e-09,40000.0,0.99999975
49,0.6627357049437705,53639937.28891392,330378.1321471594,49,49,49,2.4999999999999996e-09,40000.0,0.99999975
50,0.6761642459459836,52692273.5333988,324678.2560546011,50,50,50,2.4999999999999996e-09,40000.0,0.99999975
51,0.6904049549484625,51825336.73972449,319374.25439085846,51,51,51,2.4999999999999996e-09,40000.0,0.99999975
52,0.703509121958632,51027881.385094315,314403.2457232259,52,52,52,2.4999999999999996e-09,40000.0,0.99999975
53,0.7171882469556294,50288558.56775148,309714.21875776525,53,53,53,2.4999999999999996e-09,40000.0,0.99999975
54,0.7303401629615109,49595570.23468171,305258.2911954604,54,54,54,2.4999999999999996e-09,40000.0,0.99999975
55,0.7464533299644245,48936598.22008237,300984.94716181554,55,55,55,2.4999999999999996e-09,40000.0,0.99999975
56,0.7616851209750166,48299126.76414137,296841.619208135,56,56,56,2.4999999999999996e-09,40000.0,0.99999975
57,0.775134787967545,47671160.19785751,292774.94686149404,57,57,57,2.4999999999999996e-09,40000.0,0.99999975
58,0.7882638299633982,47042246.67203604,288734.9837509792,58,58,58,2.4999999999999996e-09,40000.0,0.99999975
59,0.8019129139574943,46404575.500986524,284683.0764368925,59,59,59,2.4999999999999996e-09,40000.0,0.99999975
60,0.8151044969563372,45753799.59970653,280601.09836126753,60,60,60,2.4999999999999996e-09,40000.0,0.99999975
61,0.8286773309519049,45089253.26804922,276497.6945626316,61,61,61,2.4999999999999996e-09,40000.0,0.99999975
62,0.8425352059566649,44413415.5290046,272407.3780933741,62,62,62,2.4999999999999996e-09,40000.0,0.99999975
63,0.856381330959266,43730750.80656677,268380.9954536783,63,63,63,2.4999999999999996e-09,40000.0,0.99999975
64,0.8700157479615882,43046308.31965439,264470.5773983913,64,64,64,2.4999999999999996e-09,40000.0,0.99999975
65,0.8836843729659449,42364538.44395486,260714.95381366607,65,65,65,2.4999999999999996e-09,40000.0,0.99999975
66,0.8966852899757214,41688648.74531136,257131.91416177,66,66,66,2.4999999999999996e-09,40000.0,0.99999975
67,0.9098323319631163,41020572.932407975,253718.5186218034,67,67,67,2.4999999999999996e-09,40000.0,0.99999975
68,0.9241587489668746,40361409.741629034,250457.6412582807,68,68,68,2.4999999999999996e-09,40000.0,0.99999975
69,0.938876623971737,39712056.90551764,247328.39669525388,69,69,69,2.4999999999999996e-09,40000.0,0.99999975
70,0.9527546239696676,39073701.879360296,244316.87007512094,70,70,70,2.4999999999999996e-09,40000.0,0.99999975
71,0.9652772079716669,38447909.884200364,241420.5453048643,71,71,71,2.4999999999999996e-09,40000.0,0.99999975
72,0.9786237919761334,37836328.5028799,238642.59891966864,72,72,72,2.4999999999999996e-09,40000.0,0.99999975
73,0.9919043759873603,37240304.96734407,235981.6466010352,73,73,73,2.4999999999999996e-09,40000.0,0.99999975
74,1.0051062089914922,36660712.40851782,233426.49408336615,74,74,74,2.4999999999999996e-09,40000.0,0.99999975
75,1.0187334589863895,36098044.1812044,230958.87166866084,75,75,75,2.4999999999999996e-09,40000.0,0.99999975
76,1.032644625985995,35552632.193565674,228559.8464038891,76,76,76,2.4999999999999996e-09,40000.0,0.99999975
77,1.045789583979058,35024813.194475286,226215.02679702907,77,77,77,2.4999999999999996e-09,40000.0,0.99999975
78,1.0593596669787075,34514945.162337296,223916.39494751423,78,78,78,2.4999999999999996e-09,40000.0,0.99999975
79,1.0724169589811936,34023281.622784756,221660.60910097923,79,79,79,2.4999999999999996e-09,40000.0,0.99999975
80,1.0862088749854593,33549795.296247035,219445.48628613775,80,80,80,2.4999999999999996e-09,40000.0,0.99999975
81,1.0994175829837332,33094053.433859654,217267.51916982696,81,81,81,2.4999999999999996e-09,40000.0,0.99999975
82,1.1131667079898762,32655182.869746637,215121.84923961273,82,82,82,2.4999999999999996e-09,40000.0,0.99999975
83,1.126619666989427,32231892.408402603,213003.5645446379,83,83,83,2.4999999999999996e-09,40000.0,0.99999975
84,1.1405855419870932,31822505.662690155,210908.28733448117,84,84,84,2.4999999999999996e-09,40000.0,0.99999975
85,1.1543138749839272,31424995.33773491,208831.19418000215,85,85,85,2.4999999999999996e-09,40000.0,0.99999975
86,1.1703034159727395,31037052.534009814,206765.3492473917,86,86,86,2.4999999999999996e-09,40000.0,0.99999975
87,1.1842468329705298,30656230.616773706,204701.0072479241,87,87,87,2.4999999999999996e-09,40000.0,0.99999975
