iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,799559695.9488217,3198239.450666235,1,0,1e-08,100,0,500000,40000.0,0.999998
1,0.03783345800184179,580497323.2732803,2349078.6916684015,1,1,1e-08,100,1,500000,40000.0,0.999998
2,0.05922270800510887,352582041.4954625,1493322.2183693962,2,2,1e-08,100,0,500000,40000.0,0.999998
3,0.0702415830019163,300453155.64698905,1303495.8663665957,2,3,1e-08,100,1,500000,40000.0,0.999998
4,0.08423420799954329,224706989.5390234,1018249.9008818652,3,4,1e-08,100,0,500000,40000.0,0.999998
5,0.09628820799116511,200010191.62626535,923505.2171400854,3,5,1e-08,100,1,500000,40000.0,0.999998
6,0.10738241700164508,160919949.3145277,768961.3136702782,3,6,1e-08,100,2,500000,40000.0,0.999998
7,0.12186987500172108,118919571.20492043,594088.8143342688,4,7,1e-08,100,0,500000,40000.0,0.999998
8,0.13248554200981744,110365871.65904713,558082.2288808746,4,8,1e-08,100,1,500000,40000.0,0.999998
9,0.1438694590178784,95675907.04831472,494760.66110331897,4,9,1e-08,100,2,500000,40000.0,0.999998
10,0.1550650430144742,78057908.84939423,415658.6360993612,4,10,1e-08,100,3,500000,40000.0,0.999998
11,0.16845241801638622,60481539.042474195,332199.3096194181,5,11,1e-08,100,0,500000,40000.0,0.999998
12,0.17976229300256819,57776188.541110046,319373.67584489513,5,12,1e-08,100,1,500000,40000.0,0.999998
13,0.19077541799924802,52865523.829391815,295686.8258693558,5,13,1e-08,100,2,500000,40000.0,0.999998
14,0.20238037600938696,46493990.70121212,264019.6915817164,5,14,1e-08,100,3,500000,40000.0,0.999998
15,0.2146963340055663,39476910.13433983,227654.09717565897,5,15,1e-08,100,4,500000,40000.0,0.999998
16,0.22830575100670103,32552467.533627708,189859.17696889088,6,16,1e-08,100,0,500000,40000.0,0.999998
17,0.2397253760136664,31662694.724307396,185077.43475343965,6,17,1e-08,100,1,500000,40000.0,0.999998
18,0.2502284180227434,29992140.25112008,175988.00803341405,6,18,1e-08,100,2,500000,40000.0,0.999998
19,0.2615674180269707,27714564.151611038,163325.27422564712,6,19,1e-08,100,3,500000,40000.0,0.999998
20,0.27360495903121773,25040296.978418488,147996.3890470296,6,20,1e-08,100,4,500000,40000.0,0.999998
21,0.28458354203030467,22187275.400432248,130998.09884883827,6,21,1e-08,100,5,500000,40000.0,0.999998
22,0.29581141701783054,19356384.40227898,113357.60336120486,6,22,1e-08,100,6,500000,40000.0,0.999998
23,0.30930950002220925,16714064.4877356,96114.30562691826,7,23,1e-08,100,0,500000,40000.0,0.999998
24,0.32007183303358033,16484828.229318054,94691.85905545743,7,24,1e-08,100,1,500000,40000.0,0.999998
25,0.3312344170262804,16043053.52872532,91929.01860446163,7,25,1e-08,100,2,500000,40000.0,0.999998
26,0.34283358402899466,15416770.861234834,87957.52796019377,7,26,1e-08,100,3,500000,40000.0,0.999998
27,0.35394616702978965,14642570.24650099,82949.658432843,7,27,1e-08,100,4,500000,40000.0,0.999998
28,0.3650698750279844,13762363.062722962,77108.56297387225,7,28,1e-08,100,5,500000,40000.0,0.999998
29,0.37694470802671276,12820070.185751675,70660.07403444996,7,29,1e-08,100,6,500000,40000.0,0.999998
30,0.389049542020075,11858571.568398392,63848.03151066635,7,30,1e-08,100,7,500000,40000.0,0.999998
31,0.4009148340264801,10917155.188691651,56935.27588188852,7,31,1e-08,100,8,500000,40000.0,0.999998
32,0.4161021250329213,10029592.830827996,50212.132037911986,8,32,1e-08,100,0,500000,40000.0,0.999998
33,0.4266600420232862,9966837.613766192,49772.68575410536,8,33,1e-08,100,1,500000,40000.0,0.999998
34,0.43802025001787115,9844048.187196683,48909.27929471923,8,34,1e-08,100,2,500000,40000.0,0.999998
35,0.44877470801293384,9665924.044359764,47647.155591653136,8,35,1e-08,100,3,500000,40000.0,0.999998
36,0.45975020801415667,9438860.638767075,46020.23775360938,8,36,1e-08,100,4,500000,40000.0,0.999998
37,0.4720318750187289,9170597.948127499,44069.95263488769,8,37,1e-08,100,5,500000,40000.0,0.999998
38,0.4833184580056695,8869827.95300107,41844.164950559294,8,38,1e-08,100,6,500000,40000.0,0.999998
39,0.49473141600901727,8545788.549407722,39396.469061897595,8,39,1e-08,100,7,500000,40000.0,0.999998
40,0.5062411660182988,8207868.15940098,36786.11064744292,8,40,1e-08,100,8,500000,40000.0,0.999998
41,0.5179937910143053,7865240.0347933695,34078.81646137593,8,41,1e-08,100,9,500000,40000.0,0.999998
42,0.5296403320098761,7526539.122844652,31348.76546677675,8,42,1e-08,100,10,500000,40000.0,0.999998
43,0.5407123320183018,7199588.535969974,28681.742893578772,8,43,1e-08,100,11,500000,40000.0,0.999998
44,0.5518091240228387,6891178.101302192,26178.9434235323,8,44,1e-08,100,12,500000,40000.0,0.999998
45,0.565582790019107,6606894.7693638895,23959.482173023564,9,45,1e-08,100,0,500000,40000.0,0.999998
46,0.5765807900315849,6592576.020301979,23850.643599788305,9,46,1e-08,100,1,500000,40000.0,0.999998
47,0.5872831230371958,6564261.692333389,23636.402537785587,9,47,1e-08,100,2,500000,40000.0,0.999998
48,0.5991354140423937,6522516.58034263,23322.37458123942,9,48,1e-08,100,3,500000,40000.0,0.999998
49,0.6093904560402734,6468123.393871696,22915.998463892127,9,49,1e-08,100,4,500000,40000.0,0.999998
50,0.6209860390372341,6402053.432027122,22426.12276895905,9,50,1e-08,100,5,500000,40000.0,0.999998
51,0.6320861220447114,6325433.804555818,21862.570809747816,9,51,1e-08,100,6,500000,40000.0,0.999998
52,0.643725913047092,6239513.361677744,21235.723347968866,9,52,1e-08,100,7,500000,40000.0,0.999998
53,0.6551384970371146,6145629.2784180455,20556.162375400872,9,53,1e-08,100,8,500000,40000.0,0.999998
54,0.6663124140322907,6045175.842173884,19834.42107961741,9,54,1e-08,100,9,500000,40000.0,0.999998
55,0.6769821220368613,5939576.469853871,19080.88427735668,9,55,1e-08,100,10,500000,40000.0,0.999998
56,0.6886723300412996,5830259.398536571,18305.878471308373,9,56,1e-08,100,11,500000,40000.0,0.999998
57,0.6995946220413316,5718636.921360033,17519.979089093726,9,57,1e-08,100,12,500000,40000.0,0.999998
58,0.7115799130406231,5606087.547755889,16734.54126362238,9,58,1e-08,100,13,500000,40000.0,0.999998
59,0.7225892040441977,5493940.1177792,15962.424973200224,9,59,1e-08,100,14,500000,40000.0,0.999998
60,0.7342707870411687,5383458.746334797,15218.828469092656,9,60,1e-08,100,15,500000,40000.0,0.999998
61,0.7452943700482138,5275827.5488742115,14522.057320451935,9,61,1e-08,100,16,500000,40000.0,0.999998
62,0.7564348290470662,5172134.4145775745,13893.937241765778,9,62,1e-08,100,17,500000,40000.0,0.999998
63,0.7678160790528636,5073353.621849361,13359.44987938044,9,63,1e-08,100,18,500000,40000.0,0.999998
64,0.7825085370568559,4980327.770301209,12945.116064320262,10,64,1e-08,100,0,500000,40000.0,0.999998
65,0.7935933700500755,4976145.482521061,12901.478786496695,10,65,1e-08,100,1,500000,40000.0,0.999998
66,0.8044127870525699,4967850.580814232,12817.517794154339,10,66,1e-08,100,2,500000,40000.0,0.999998
67,0.8157623700535623,4955561.677463241,12698.635268684391,10,67,1e-08,100,3,500000,40000.0,0.999998
68,0.827186620052089,4939437.273229784,12551.771623419572,10,68,1e-08,100,4,500000,40000.0,0.999998
69,0.8386348700441886,4919665.253416845,12384.752504338816,10,69,1e-08,100,5,500000,40000.0,0.999998
70,0.8495531200314872,4896452.073065262,12205.57751203419,10,70,1e-08,100,6,500000,40000.0,0.999998
71,0.861476495032548,4870012.716805393,12021.705583452062,10,71,1e-08,100,7,500000,40000.0,0.999998
72,0.8728779540251708,4840562.351182725,11839.401877380282,10,72,1e-08,100,8,500000,40000.0,0.999998
73,0.8849289960198803,4808310.339109526,11663.215177246713,10,73,1e-08,100,9,500000,40000.0,0.999998
74,0.8969573290087283,4773456.992825635,11495.648031965224,10,74,1e-08,100,10,500000,40000.0,0.999998
75,0.9083735790045466,4736193.13929403,11337.061375003155,10,75,1e-08,100,11,500000,40000.0,0.999998
76,0.9192669540061615,4696702.292261505,11185.823476699738,10,76,1e-08,100,12,500000,40000.0,0.999998
77,0.9310004959988873,4655164.992956662,11038.67743926449,10,77,1e-08,100,13,500000,40000.0,0.999998
78,0.9428509129938902,4611764.712151616,10891.272241512419,10,78,1e-08,100,14,500000,40000.0,0.999998
79,0.9545112049963791,4566694.606273437,10738.787675372248,10,79,1e-08,100,15,500000,40000.0,0.999998
80,0.9662624969932949,4520164.387324775,10576.585735919469,10,80,1e-08,100,16,500000,40000.0,0.999998
81,0.9787020810035756,4472406.592326361,10400.836288177146,10,81,1e-08,100,17,500000,40000.0,0.999998
82,0.9908572060085135,4423681.611184359,10209.08558916349,10,82,1e-08,100,18,500000,40000.0,0.999998
83,1.0029870810103603,4374280.94005054,10000.754554764999,10,83,1e-08,100,19,500000,40000.0,0.999998
84,1.0145832060079556,4324528.259805184,9777.563357780524,10,84,1e-08,100,20,500000,40000.0,0.999998
85,1.026372831009212,4274778.088691849,9543.876070888495,10,85,1e-08,100,21,500000,40000.0,0.999998
86,1.0385450810135808,4225411.919851752,9306.941474152309,10,86,1e-08,100,22,500000,40000.0,0.999998
87,1.0519603730062954,4176831.9256802187,9076.973811922158,10,87,1e-08,100,23,500000,40000.0,0.999998
88,1.064740290006739,4129452.4877967383,8866.975198103943,10,88,1e-08,100,24,500000,40000.0,0.999998
89,1.0868734570103697,4083689.9862611024,8692.165982483337,11,89,1e-08,100,0,500000,40000.0,0.999998
90,1.0989544160111109,4081803.419135907,8671.372985041642,11,90,1e-08,100,1,500000,40000.0,0.999998
91,1.112426708015846,4078052.5999883614,8631.385208447105,11,91,1e-08,100,2,500000,40000.0,0.999998
92,1.1253856660187012,4072475.577709762,8574.833642344305,11,92,1e-08,100,3,500000,40000.0,0.999998
93,1.1386858740152093,4065123.2966510323,8505.137196035797,11,93,1e-08,100,4,500000,40000.0,0.999998
94,1.1517623330146307,4056056.258680381,8426.206435370603,11,94,1e-08,100,5,500000,40000.0,0.999998
95,1.1641366660187487,4045341.0207440117,8342.11426389254,11,95,1e-08,100,6,500000,40000.0,0.999998
96,1.1764145820197882,4033046.8602545355,8256.756358999352,11,96,1e-08,100,7,500000,40000.0,0.999998
97,1.1887009570200462,4019242.9075310426,8173.52855833662,11,97,1e-08,100,8,500000,40000.0,0.999998
98,1.2024312900175573,4003995.9868647503,8095.050926758346,11,98,1e-08,100,9,500000,40000.0,0.999998
99,1.2154133730218746,3987369.333170898,8022.966946143986,11,99,1e-08,100,10,500000,40000.0,0.999998
100,1.2280683310236782,3969422.2680117027,7957.839833947655,11,100,1e-08,100,11,500000,40000.0,0.999998
101,1.2400623310240917,3950210.835275928,7899.156622751107,11,101,1e-08,100,12,500000,40000.0,0.999998
102,1.2526623720332282,3929789.3202200495,7845.436440713277,11,102,1e-08,100,13,500000,40000.0,0.999998
103,1.2642478300258517,3908212.5115364227,7794.425887715087,11,103,1e-08,100,14,500000,40000.0,0.999998
104,1.2779469140223227,3885538.518247189,7743.354974633689,11,104,1e-08,100,15,500000,40000.0,0.999998
105,1.2898749980231514,3861831.923062498,7689.223849915516,11,105,1e-08,100,16,500000,40000.0,0.999998
106,1.3015721650153864,3837167.040963131,7629.093457384654,11,106,1e-08,100,17,500000,40000.0,0.999998
107,1.3132403730269289,3811631.054140835,7560.3605659068335,11,107,1e-08,100,18,500000,40000.0,0.999998
108,1.3256444570288295,3785326.8089345465,7481.006695814364,11,108,1e-08,100,19,500000,40000.0,0.999998
