iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,799559695.9488217,3198239.450666235,0,1,0.001,1e-16,0
1,0.011019958008546382,799559695.9488217,3198239.450666235,0,2,0.002,1e-16,0
2,0.022773833014070988,799559695.9488217,3198239.450666235,0,3,0.004,1e-16,0
3,0.03476541601412464,799559695.9488217,3198239.450666235,0,4,0.008,1e-16,0
4,0.04605858201102819,799559695.9488217,3198239.450666235,0,5,0.016,1e-16,0
5,0.057161540011293255,799559695.9488217,3198239.450666235,0,6,0.032,1e-16,0
6,0.06793024801299907,799559695.9488217,3198239.450666235,0,7,0.064,1e-16,0
7,0.079689831007272,799559695.9488217,3198239.450666235,0,8,0.128,1e-16,0
8,0.09002370599773712,799559695.9488217,3198239.450666235,0,9,0.256,1e-16,0
9,0.10132070600229781,799559695.9488217,3198239.450666235,0,10,0.512,1e-16,0
10,0.11195116399903782,799559695.9488217,3198239.450666235,0,11,1.024,1e-16,0
11,0.12321549800981302,799559695.9488217,3198239.450666235,0,12,2.048,1e-16,0
12,0.13459570601116866,799559695.9488217,3198239.450666235,0,13,4.096,1e-16,0
13,0.14647028900799341,799559695.9488217,3198239.450666235,0,14,8.192,1e-16,0
14,0.1572909139940748,799559695.9488217,3198239.450666235,0,15,16.384,1e-16,0
15,0.16847703899838962,799559695.9488217,3198239.450666235,0,16,32.768,1e-16,0
16,0.17886308098968584,799559695.9488217,3198239.450666235,0,17,65.536,1e-16,0
17,0.18996687298931647,799559695.9488217,3198239.450666235,0,18,131.072,1e-16,0
18,0.20137803998659365,799559695.9488217,3198239.450666235,0,19,262.144,1e-16,0
19,0.2119979149865685,799559695.9488217,3198239.450666235,0,20,524.288,1e-16,0
20,0.2218251229787711,799559695.9488217,3198239.450666235,0,21,1048.576,1e-16,0
21,0.23303928997484036,799559695.9488217,3198239.450666235,0,22,2097.152,1e-16,0
22,0.24389549797342625,799559695.9488217,3198239.450666235,0,23,4194.304,1e-16,0
23,0.2699941229802789,128528541.43673033,1629525.1177783117,0,25,3774.8736000000004,1e-16,0
24,0.2805872059689136,128528541.43673033,1629525.1177783117,0,26,7549.747200000001,1e-16,0
25,0.29149524796230253,128528541.43673033,1629525.1177783117,0,27,15099.494400000001,1e-16,0
26,0.3018569149571704,128528541.43673033,1629525.1177783117,0,28,30198.988800000003,1e-16,0
27,0.32872095696802717,91719928.67291762,561741.9452648141,0,30,27179.089920000002,1e-16,0
28,0.3549555399658857,81120117.93359776,474967.18082164036,0,32,27179.089920000002,102.85632547821835,1
29,0.3797693729720777,69652170.1332958,400424.70749285293,0,34,24461.180928,1e-16,0
30,0.40647195697238203,63401575.90723742,364225.1478015907,0,36,24461.180928,11.69698548898006,1
31,0.4336707899783505,55752641.64090845,321031.07300990704,0,38,24461.180928,11.69698548898006,2
32,0.45999503997154534,47738401.63089442,276238.5768682607,0,40,24461.180928,11.69698548898006,3
33,0.48540187296748627,40093176.06229591,233298.67551123985,0,42,22015.062835200002,1e-16,0
34,0.5110723729594611,37691383.957660995,220121.43294831508,0,44,22015.062835200002,3.439587485333034,1
35,0.5357713309495011,34522625.63562182,202511.0693617472,0,46,22015.062835200002,3.545308010513394,2
36,0.5606344559491845,30933211.64401497,182158.626710172,0,48,22015.062835200002,3.545308010513394,3
37,0.5857637889566831,27236875.355395153,160627.33737479371,0,50,22015.062835200002,3.545308010513394,4
38,0.6112474549590843,23680849.712631978,139219.82214174137,0,52,22015.062835200002,3.545308010513394,5
39,0.6349152469629189,20434280.954933766,118937.15819221232,0,54,19813.55655168,1e-16,0
40,0.6620982049644226,19733229.789526414,114660.94348813078,0,56,19813.55655168,1.8900454649160352,1
41,0.6865679549664492,18764015.907770474,108669.393972578,0,58,19813.55655168,2.0528802534776838,2
42,0.7126209549605846,17601753.85947483,101344.99139207073,0,60,19813.55655168,2.097380914300394,3
43,0.7384724129515234,16324832.4122595,93097.97604257028,0,62,19813.55655168,2.097380914300394,4
44,0.7649827459536027,15006780.11413449,84333.9876408863,0,64,19813.55655168,2.097380914300394,5
45,0.7920702879637247,13710439.755089685,75430.65022909023,0,66,19813.55655168,2.097380914300394,6
46,0.8215872879518429,12484696.988667844,66723.76626129648,0,68,19813.55655168,2.097380914300394,7
47,0.8526120789611014,11363506.952808406,58501.63785203561,0,70,17832.200896512,1e-16,0
