iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
0,0,799559695.9488217,3198239.450666235,0,1,0.001,0,0
1,0.03133983400766738,799559695.9488217,3198239.450666235,0,2,0.002,0,0
2,0.042445209008292295,799559695.9488217,3198239.450666235,0,3,0.004,0,0
3,0.05341512500308454,799559695.9488217,3198239.450666235,0,4,0.008,0,0
4,0.06373112501751166,799559695.9488217,3198239.450666235,0,5,0.016,0,0
5,0.0740891670138808,799559695.9488217,3198239.450666235,0,6,0.032,0,0
6,0.0848883340077009,799559695.9488217,3198239.450666235,0,7,0.064,0,0
7,0.09513562500069384,799559695.9488217,3198239.450666235,0,8,0.128,0,0
8,0.1050588750076713,799559695.9488217,3198239.450666235,0,9,0.256,0,0
9,0.11592983301670756,799559695.9488217,3198239.450666235,0,10,0.512,0,0
10,0.12652037500811275,799559695.9488217,3198239.450666235,0,11,1.024,0,0
11,0.13745700000436045,799559695.9488217,3198239.450666235,0,12,2.048,0,0
12,0.1481588750029914,799559695.9488217,3198239.450666235,0,13,4.096,0,0
13,0.15843833300459664,799559695.9488217,3198239.450666235,0,14,8.192,0,0
14,0.16863612399902195,799559695.9488217,3198239.450666235,0,15,16.384,0,0
15,0.17874299899267498,799559695.9488217,3198239.450666235,0,16,32.768,0,0
16,0.18847620698215906,799559695.9488217,3198239.450666235,0,17,65.536,0,0
17,0.19868453999515623,799559695.9488217,3198239.450666235,0,18,131.072,0,0
18,0.20911553998303134,799559695.9488217,3198239.450666235,0,19,262.144,0,0
19,0.21961033197294455,799559695.9488217,3198239.450666235,0,20,524.288,0,0
20,0.22989554097875953,799559695.9488217,3198239.450666235,0,21,1048.576,0,0
21,0.2399583319784142,799559695.9488217,3198239.450666235,0,22,2097.152,0,0
22,0.2508726229716558,799559695.9488217,3198239.450666235,0,23,4194.304,0,0
23,0.2613639139744919,128528541.43673033,1629525.1177783117,0,24,8388.608,0,0
24,0.2715655389765743,128528541.43673033,1629525.1177783117,0,25,16777.216,0,0
25,0.2820437889749883,102026555.41381323,3043535.5222202833,0,26,33554.432,0,0
26,0.2924389969703043,102026555.41381323,3043535.5222202833,0,27,67108.864,0,0
27,0.30350991297746077,97110249.20239103,3543670.810836914,0,28,134217.728,0,0
28,0.3142967039748328,77615587.73203078,455001.37860118854,0,29,268435.456,0,0
29,0.4076630789641058,76849671.03663862,448838.4040207539,0,31,268435.456,24.17505138378322,1
30,0.4283642039663391,75358318.77987339,437582.0116835907,0,33,268435.456,41.38689170542988,2
31,0.45174345397390425,73213044.02542646,422667.87877120456,0,35,268435.456,49.031901305649335,3
32,0.4747932459722506,70503845.51646063,405225.59497119044,0,37,268435.456,49.07123644419777,4
33,0.4962096619710792,67329467.42018254,385922.19753032585,0,39,268435.456,49.07123644419777,5
34,0.5179450789582916,63791705.96732381,365160.9778717818,0,41,268435.456,49.07123644419777,6
35,0.5416022039571544,59992034.871078,343294.6604495551,0,43,268435.456,49.07123644419777,7
36,0.5641203709528781,56028885.057302915,320712.3109367096,0,45,268435.456,49.07123644419777,8
37,0.5853127459558891,51995050.36510757,297831.35110195517,0,47,268435.456,49.07123644419777,9
38,0.6071629129437497,47975412.95792904,275060.9085356043,0,49,268435.456,49.07123644419777,10
39,0.6286707879480673,44045293.31251199,252781.27357831792,0,51,268435.456,49.07123644419777,11
40,0.6487404539366253,40269521.088854395,231368.73024217426,0,53,268435.456,49.07123644419777,12
41,0.6695021209307015,36702029.172410436,211285.93924328795,0,55,268435.456,49.07123644419777,13
42,0.6889498289237963,33385536.868294336,193208.15167373302,0,57,268435.456,49.07123644419777,14
43,0.7090280789270764,30350920.64385966,178013.66019723972,0,59,268435.456,49.07123644419777,15
44,0.7300086619216017,27616452.901682895,166360.62867423773,0,61,268435.456,49.07123644419777,16
45,0.749405953931273,25188071.236894466,157963.98771193187,0,63,268435.456,49.07123644419777,17
46,0.7687269959424157,23062012.01871527,151503.14291318963,0,65,268435.456,49.07123644419777,18
47,0.7900140789424768,21229297.14601503,145691.5296022529,0,67,268435.456,49.07123644419777,19
48,0.8101094129378907,19679326.6546847,140283.56239922388,0,69,268435.456,49.07123644419777,20
49,0.8311134549439885,18400644.906105552,135792.4764495835,0,71,268435.456,49.07123644419777,21
50,0.8511811629432486,17380056.340990715,132643.95064569893,0,73,268435.456,49.07123644419777,22
51,0.8727870799484663,16602173.55485623,130974.54888446325,0,75,268435.456,49.07123644419777,23
52,0.8934004969487432,16049713.09308507,130875.16339540575,0,77,268435.456,49.07123644419777,24
53,0.9127306219597813,15703845.3419295,132365.97701896893,0,79,268435.456,49.07123644419777,25
54,0.9323324139550095,15544536.495395722,135197.68035338452,0,81,268435.456,49.07123644419777,26
55,0.9522589139523916,15551286.707074326,138894.00923713914,0,83,268435.456,49.07123644419777,27
56,0.9726294139545644,15704261.608772865,143008.8694386494,0,85,268435.456,49.07123644419777,28
57,0.9925682469620369,15985335.345860444,147331.17246933235,0,87,268435.456,49.07123644419777,29
58,1.0130362889613025,16378552.197848983,150878.92666411249,0,89,268435.456,49.07123644419777,30
59,1.032966246959404,16869746.37248364,143337.51685962777,0,91,268435.456,49.07123644419777,31
60,1.0544572469661944,17445281.23240256,136234.37395614147,0,93,268435.456,49.07123644419777,32
61,1.0758743299666094,18090277.21962205,129569.45809692977,0,95,268435.456,49.07123644419777,33
62,1.0961368719727034,18787497.30927238,123340.84161653694,0,97,268435.456,49.07123644419777,34
63,1.1158997469610767,19518474.017181158,117544.67544023335,0,99,268435.456,49.07123644419777,35
64,1.135539621958742,19383064.193911597,112175.11001484215,0,101,268435.456,49.07123644419777,36
65,1.1555727049562847,18514251.025315255,107224.18230693268,0,103,268435.456,49.07123644419777,37
66,1.176173787956941,17706609.691212144,102681.69030352583,0,105,268435.456,49.07123644419777,38
67,1.1957537879497977,16957241.163231604,98535.08516024736,0,107,268435.456,49.07123644419777,39
68,1.2147546629566932,16263202.783785375,94769.4130474558,0,109,268435.456,49.07123644419777,40
69,1.2361449549498502,15621539.110897463,91367.33270417259,0,111,268435.456,49.07123644419777,41
70,1.2570199959445745,15029308.07398679,88309.22641199119,0,113,268435.456,49.07123644419777,42
71,1.2793571209476795,14483602.289284922,85573.41519774777,0,115,268435.456,49.07123644419777,43
72,1.2990806209563743,13981565.787926316,83136.47978078808,0,117,268435.456,49.07123644419777,44
73,1.3124252049601637,13981565.787926316,83136.47978078808,0,118,26843.5456,0,0
74,1.333305746957194,13727921.802154835,80684.51674922562,0,120,26843.5456,1.953099962603294,1
75,1.3538033299555536,13250041.959537946,76087.52386690716,0,122,26843.5456,3.667086407381553,2
76,1.3733866209659027,12600341.620281214,69914.13758173036,0,124,26843.5456,4.9670174533323435,3
77,1.3932807459787,11843598.52380918,62920.67353252472,0,126,26843.5456,5.7683314338533,4
78,1.4126137459825259,11045321.64913475,55961.41399490778,0,128,26843.5456,6.067642969414174,5
79,1.431427495990647,10262138.024085127,49875.31839397317,0,130,26843.5456,6.067642969414174,6
80,1.4513906209904235,9536019.858691389,45324.1536630449,0,132,26843.5456,6.067642969414174,7
81,1.4718229539867025,8892731.867231572,42595.54436234974,0,134,26843.5456,6.067642969414174,8
82,1.492588037988753,8343711.809426181,41502.47395543912,0,136,26843.5456,6.067642969414174,9
83,1.5130730789824156,7889961.694745132,41525.36293093653,0,138,26843.5456,6.067642969414174,10
84,1.5333677039889153,7526425.567774234,42107.64901835237,0,140,26843.5456,6.067642969414174,11
85,1.5543862459890079,7245629.869540479,42872.95344568972,0,142,26843.5456,6.067642969414174,12
86,1.5741607879899675,7039895.636976905,42529.33506564465,0,144,26843.5456,6.067642969414174,13
87,1.5952576629788382,6902030.851855689,39827.74505120279,0,146,26843.5456,6.067642969414174,14
88,1.616134162977687,6824915.763140168,37295.75638446826,0,148,26843.5456,6.067642969414174,15
89,1.6367983719828771,6800671.3884744365,34909.82680520084,0,150,26843.5456,6.067642969414174,16
90,1.655966163991252,6820088.92017636,32652.85637040081,0,152,26843.5456,6.067642969414174,17
91,1.676742497991654,6872733.269572856,30516.570620654285,0,154,26843.5456,6.067642969414174,18
92,1.696956997984671,6947744.207586376,28501.882408502413,0,156,26843.5456,6.067642969414174,19
93,1.7167175399808912,7035012.340688359,26617.68480818419,0,158,26843.5456,6.067642969414174,20
94,1.7360817059816327,6869408.534912706,24878.578641913813,0,160,26843.5456,6.067642969414174,21
95,1.7569199559802655,6664631.786335105,23301.953741256162,0,162,26843.5456,6.067642969414174,22
96,1.777563621973968,6478519.5256824335,21904.736594080805,0,164,26843.5456,6.067642969414174,23
97,1.7980525799648603,6309886.397295288,20700.086850984793,0,166,26843.5456,6.067642969414174,24
98,1.818186746968422,6157431.12378564,19694.41101064232,0,168,26843.5456,6.067642969414174,25
99,1.836812454959727,6019774.9321362395,18885.20370975578,0,170,26843.5456,6.067642969414174,26
100,1.8565418299695011,5895500.805699484,18260.2663338243,0,172,26843.5456,6.067642969414174,27
101,1.876534996976261,5783191.5730142305,17798.63028609586,0,174,26843.5456,6.067642969414174,28
102,1.896719955970184,5681465.183003923,17473.036691042296,0,176,26843.5456,6.067642969414174,29
103,1.9180517469794722,5589005.707759401,17253.330272917312,0,178,26843.5456,6.067642969414174,30
104,1.9391499139892403,5504588.7402494615,17109.899942449294,0,180,26843.5456,6.067642969414174,31
105,1.9599794969835784,5427100.063182261,17016.435956974557,0,182,26843.5456,6.067642969414174,32
106,1.9809095379750943,5355546.8719301615,16951.627350772087,0,184,26843.5456,6.067642969414174,33
